Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,33.22742682,22.04529329,24.96765771,30.41325102,29.35278246,20.19149299,23.18372124,29.72189632,42.60958876,34.93847569,30.22186054,27.52258571,33.68023423,19.66097288,27.00759086,41.61007038,18.14112535,20.65037721,29.08333673,20.43904748,28.65525429,36.51883954,40.31392723,47.77536128,40.28525716,38.2913351,28.63972323,33.02921539,40.2010907,42.80840109,40.57421026
1,21.90212428,20.54321562,21.55273101,27.531882,26.76559301,14.85258563,16.95168026,20.30249665,27.38600686,30.25351281,26.27252835,26.47331754,27.53887643,19.34685139,25.9463427,40.31102051,13.58310678,16.22811913,23.09948743,11.0714526,27.0183732,35.788835,36.09388007,45.36815894,38.82155617,35.26464532,22.66688357,32.70578054,40.39906846,42.81552807,35.2389819
2,23.99175078,21.2059054,22.4705628,28.79978271,26.931881,13.55756882,14.86840079,18.44208066,27.63872898,27.17134735,24.21401368,23.81868414,19.40297542,19.08075145,26.46726166,39.82650926,10.72992728,12.6149547,18.07137354,6.892656525,28.57242439,36.06740086,35.67363991,43.32394779,38.79806536,32.43968563,22.20389095,32.8976445,37.37277647,40.39972926,34.14531247
3,37.18457099,28.44292945,30.47596499,33.13734666,27.25375515,14.00774432,24.0727608,37.47820007,43.67043892,37.06465424,30.23039493,25.60767251,21.02995624,23.42075754,36.72806029,45.027018,23.08134314,16.23872796,21.87403845,8.414611653,41.99760412,42.78040575,41.83544175,49.6927911,43.33903967,35.27019362,25.60048264,37.88212525,40.31121722,43.36788067,40.31201408
4,74.49975456,63.88928288,70.23862911,74.94924274,45.90151039,21.07974417,56.72391121,57.80930033,63.02773021,65.50458947,62.28753866,31.92990592,30.5947478,50.56659426,60.68215962,72.76868668,55.74850223,40.59208003,33.51789729,13.26719766,56.57026002,58.56647212,55.44941765,61.20288418,62.70926815,33.08277443,31.23424928,41.78298626,58.64563137,63.99337333,59.05207593
5,90.49711096,85.66677261,96.50723814,100.0731908,50.97084754,21.22744859,79.50088633,79.86183751,82.81597695,87.98938224,67.05517554,33.33508983,19.38145708,63.96669904,67.63007527,74.63725099,61.1636574,53.31413449,28.78327862,10.52769725,61.2446726,66.40595707,69.58354905,70.02349347,69.59813742,24.46084292,10.01522719,27.83101305,74.3232376,76.93423473,65.31270125
6,70.91012449,64.15600116,58.76975927,56.20257784,32.70484869,10.53874912,60.66504748,56.29713501,44.64704136,49.1493532,52.7539129,12.06789156,0,53.89465655,50.99486697,47.24384864,34.31701815,23.64818207,10.26348753,0,51.85062443,51.84015905,53.9104131,51.90048768,54.82519634,6.670720244,0,5.134779432,59.76207617,48.12054938,48.9951896
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0.177178925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,73.60247503,63.58188273,70.69251342,98.38675827,92.41420567,99.90767411,93.86912307,93.80123705,87.18570634,95.83752973,77.45679383,69.67292383,57.63940758,68.85461125,65.50215275,58.79552317,52.74238057,58.4758545,60.23299553,69.49527839,66.61485983,64.42727283,67.29209827,69.42929652,53.99018646,39.21112324,64.14231923,73.61931611,88.54251861,56.89669095,45.99510133
18,91.01294191,101.7042083,93.31649767,118.5866071,111.6667102,119.8691743,135.1351384,111.6197417,109.9312312,116.8631956,101.127107,91.03185533,80.93868525,90.99588032,97.50881457,87.12644257,89.10601601,85.13670354,82.81119198,79.9911962,87.49553771,81.99483608,85.26112062,95.0630831,78.9226823,76.54430189,78.49797636,93.59639043,123.0175656,93.22749238,82.98860068
19,107.0923414,121.4615664,126.5989371,140.8233075,130.06062,128.2693235,158.1452134,130.3849127,125.7759213,134.5259407,115.2123438,112.2689225,104.6888268,111.6179654,131.3654169,112.9757741,117.3890188,115.7135561,113.327826,114.2495003,129.0899756,111.4147846,115.0875073,124.1356496,95.00799533,97.06005397,106.9114943,122.5145356,112.0506243,116.4852027,115.8723339
20,82.92110647,83.41638854,94.89409705,90.1250282,78.6545556,94.73211415,103.1759833,93.06400036,93.48330056,101.2778414,96.37312002,93.47108653,82.1508363,85.76026197,93.68551934,86.17576825,86.68488995,84.71692322,89.81911071,82.1443413,82.76609079,80.15555695,83.48733399,89.82087248,84.67963811,79.64144172,76.39371463,85.6592495,84.53308659,86.27144397,79.94811606
21,53.15847257,49.991517,59.88551477,59.94405973,44.36114709,59.52514609,59.22556512,59.69184811,63.42085616,63.1401377,63.65877952,65.5592499,62.71292094,63.11314121,62.76219023,61.35156945,53.8529121,60.64789243,70.77762926,56.88938001,54.52011504,57.97975369,61.75543048,70.63415052,67.79088898,51.78805647,62.39220938,59.5686144,61.41158372,62.67716639,59.78115878
22,47.93232062,31.85867729,50.83504448,62.41121524,34.83139197,48.51236919,52.39389491,50.47295718,47.48391104,52.32882774,47.26805525,46.04510856,40.05812355,44.91575491,52.56366227,44.74696387,35.3976017,47.56262087,46.56259184,35.21660348,44.79342798,48.17857422,48.46723678,53.51765767,49.20482837,38.17869109,48.66093789,44.83822297,50.25014694,49.88316612,42.29393997
23,23.80506146,31.00049785,35.91914947,37.43227204,31.96053194,33.17138038,40.22803631,40.83734158,42.58405862,45.55781653,39.63736103,37.90706788,30.04375679,42.08984296,50.61523127,22.5065702,25.02236125,36.00365618,33.27530562,29.66423473,39.85556317,47.39392862,51.04181891,45.009219,41.50241654,42.69870265,41.17074871,39.06530126,48.13348127,44.20053869,39.65362237
