Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,85.76515648,79.9620519,75.73495081,85.07681826,69.04362523,68.25827488,67.87715814,70.8749308,68.51461388,54.42455373,58.76921542,66.98573183,81.00151175,75.49716476,67.76096473,68.58490802,68.80240035,67.25171896,64.43432871,67.47613052,80.50999897,71.19233159,71.45147097,65.53374893,65.92100811,64.0851529,77.6297142,75.47929805,65.0828231,66.42171512,67.67944453
1,81.50864163,77.49490616,74.24040614,79.81318744,66.63792401,67.78479038,64.85602931,67.98994263,65.28130102,50.89494122,53.31458937,59.83158385,74.67412026,71.70527838,67.46952045,68.7304552,67.21548248,63.33793066,59.98242882,62.01410621,76.69378994,69.20083463,67.71454626,64.75311107,63.59418528,60.83187426,73.32699894,74.95151679,61.31111107,61.83712069,65.12591927
2,76.68874192,75.57342154,70.84360648,78.13479837,66.54824948,65.56956024,64.8483985,62.34454844,62.07995634,47.78200785,51.37170007,58.59470364,70.98180436,70.19577529,66.69423527,66.23886329,66.38868176,62.22100617,56.9095661,60.6422409,72.91591688,64.33851811,66.34976704,62.3102814,61.93970821,60.00859374,70.75329329,72.34883865,61.09669666,60.40874587,62.5696675
3,73.65651247,73.34908393,70.56098803,76.33065591,66.51837459,65.29091087,64.86917127,62.03099608,62.0643692,47.84524622,51.88001337,58.88795163,71.51324773,69.27533001,65.77870446,62.60631984,66.34330163,59.28205604,57.45372532,60.63344375,73.53396185,66.40606432,67.19196047,62.38442911,62.65675041,60.58922343,71.8812117,71.10985068,61.57575419,60.50483797,62.36435841
4,74.04342715,77.37177401,74.0443589,81.59852169,66.68276127,64.72680423,68.03473693,71.06129323,67.20680249,54.13747748,54.66902293,60.61701167,71.57865212,70.2714269,69.21460482,67.70528099,67.65594705,63.78765389,63.00980949,62.99427904,75.63077943,69.25937425,68.81609921,65.28814428,64.65054051,66.94275878,69.80320166,72.36515764,67.46142727,67.16880035,69.09733731
5,77.68021867,81.36679039,86.02987213,93.97459214,77.41692184,65.76531804,67.7639428,79.39248933,74.18555445,62.16965149,71.34569309,71.01902892,74.75578426,69.96821924,72.6156333,73.65867532,80.02029235,80.89029716,73.11489759,68.82196555,85.34714182,79.7203782,85.4874272,82.09561214,77.52470843,76.15801742,79.23500075,78.30951314,78.81583955,79.71800331,79.08053179
6,81.6271363,97.84783023,102.6779883,123.4400185,97.0627005,69.49012757,69.08816325,90.82251185,91.54341034,85.03481351,93.79093746,101.0942539,84.12871487,79.53718004,92.34232516,97.88409028,105.553018,109.4832632,96.61471789,81.09130745,90.18302057,104.0075257,129.4155414,115.3863384,106.4485928,101.6853624,89.17700681,83.85345082,103.0164464,101.0309795,101.7312922
7,80.4393941,111.973198,102.8706623,109.5229709,101.9718821,70.86596823,68.46273579,108.5867329,103.7710857,101.2782265,110.3087154,115.7561832,82.11108605,73.61107667,109.3949132,104.5271047,109.3252915,112.4583024,105.1663995,81.62372854,86.3429225,114.0395963,118.6484766,111.2260282,107.5657504,101.7429057,84.88189871,74.32597223,100.5147411,104.7399192,101.8058345
8,71.92855547,88.49952223,88.37045156,87.27592737,84.59860964,68.98292785,57.94657708,100.303741,90.39774717,74.3167891,81.98963964,90.67331679,69.42885519,69.34645925,84.37737195,88.54437135,79.84564344,81.22909211,83.45384517,62.69827169,74.17754693,85.80984284,83.62828797,78.80432329,77.39501973,73.97864041,75.92857242,64.53447747,74.52764748,75.2270046,73.33422752
9,61.5607631,81.43130138,80.84265468,77.40351956,69.42335844,67.06315483,53.39354998,92.25763882,82.2244472,62.51967361,68.8203204,72.88091484,55.66073364,56.89677734,72.8804059,75.9311193,68.1399412,67.05280034,71.14709842,48.72181824,67.02249682,74.73227599,65.62016298,60.23490193,60.03630245,67.47765368,65.5912953,38.95973208,61.74745845,65.96291297,56.3474973
10,57.88188772,77.64954571,76.17463407,70.8885733,65.39543364,63.6477673,49.40283404,85.95622888,78.21824078,56.24032292,57.90808486,69.43253219,49.01379646,52.78233907,72.5348069,71.58660946,58.72311754,65.03147624,66.14922314,24.2163108,52.7895329,66.41757342,57.98199195,53.99918533,53.57370611,56.08444284,46.40179432,32.965566,61.84107923,63.93428939,52.71318376
11,55.53911842,75.7465718,74.85187394,69.87462384,64.36855289,57.1866129,47.82138535,87.24890773,74.39035795,53.3311268,50.76243918,63.8706437,47.82566893,50.73313211,69.76203252,64.53889643,56.10377243,59.00317762,58.78066086,32.50559996,49.70111394,69.50141327,52.0753503,48.8525451,45.67059184,51.86529347,42.89795641,30.81700771,57.47300562,59.28743473,50.53696273
12,53.09908528,75.76440415,73.98549554,70.09098887,65.31570767,55.30387177,45.63301268,85.18099072,73.7535616,49.51638353,50.34520665,56.12236338,44.75838062,47.22610251,70.23834948,64.32325614,53.55123363,50.27729742,55.0171797,23.2654704,41.8530238,61.98058028,50.14900145,45.88712,42.81690643,45.52025901,35.57291389,23.62676005,53.38725596,56.71109921,45.8790414
13,55.69070597,79.49513186,79.48223538,70.76581498,67.78810719,52.86657498,47.50034256,83.0347262,73.23393925,47.6338651,52.13559626,57.49688416,47.48053135,47.41797631,72.30179142,65.22538067,55.38646991,58.24182606,50.44218916,25.16795093,44.27948944,63.58861806,50.93700701,45.98725494,42.97003266,44.40314993,32.91713626,26.34811491,55.60607104,58.87693348,47.95815572
