Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,142.1289103,156.9615997,118.2681098,77.08218119,120.1901274,75.54791196,144.5536162,34.6539152,145.804072,174.2686802,185.2509343,66.41843528,60.6182147,17.88634525,79.56044607,115.1934087,144.9569748,89.82247171,67.71040658,129.2585057,66.64323284,22.54210193,66.29194788,108.4274363,34.99682254,27.05887222,72.54094551,96.11400095,19.77058458,27.77594728
1,161.4547197,157.9195284,173.0568612,79.93930547,127.4940669,164.2131385,166.0743838,51.18553648,149.9414984,162.8775756,172.9589153,69.02473776,63.99293729,54.38920028,133.6839338,103.3274098,131.7617674,89.95572801,79.42203862,117.966471,68.86462915,21.86166934,68.93200581,94.77796504,31.50110095,23.26266165,70.0941271,106.0777572,19.6811033,30.2038373
2,157.6864825,160.0300183,178.7796566,89.14265575,137.1019965,142.2254586,173.7796907,168.5789532,154.8767764,161.0489664,161.7814313,72.11937239,69.49954981,197.6630294,189.9351393,190.0809547,145.3824468,79.0574293,75.63907216,130.4904219,66.53768606,31.09008994,82.42731989,94.58696036,47.87415122,28.20768265,197.4267952,104.3035298,19.91457383,26.70973046
3,164.7474241,165.7762142,187.3128841,88.55959261,146.4136652,146.8044233,179.1664728,160.2040701,149.0667753,103.7412612,158.506612,71.74512182,66.04564289,186.2629939,184.195026,178.7652464,143.3403072,74.54032598,79.20885838,119.0747367,69.34565377,29.47984514,83.02699686,91.9694118,39.40122612,28.37825077,95.01738446,104.5255769,20.39298815,24.98532601
4,159.3424261,166.5726792,27.57479434,94.04217798,144.8951373,156.279332,162.7136322,154.7657894,152.0827102,64.07959431,144.7532447,65.68283607,71.10116405,51.87224775,152.2974104,109.8231803,131.4221024,66.54087367,66.30206514,125.019688,69.24293267,27.51124888,78.24757381,125.1134469,40.37297673,29.10165041,55.28587755,104.7863839,18.63612397,28.67862571
5,90.54967771,144.8416995,23.70805063,102.5933291,132.9932301,155.8977835,17.60115248,150.27225,145.8044005,73.09604389,50.46224002,63.10852261,61.04256738,51.71113227,79.47882535,86.44852321,138.1906927,66.50096133,43.20052347,101.502593,62.20487644,26.28809727,51.17702579,96.7867172,50.086602,32.34824765,50.73844081,103.8005014,14.37613618,27.08655294
6,22.06057469,107.7733769,56.88629879,12.18675985,85.92353871,149.8488935,5.547740311,20.58714516,141.0456536,25.07624304,26.52238811,18.92515852,12.58850411,14.86205909,12.9973303,21.29057789,32.03027187,104.1507983,30.97363276,67.88441976,8.8980391,-3.646426996,28.03328585,47.04797483,29.04282832,7.637952766,7.394699846,9.014971277,-9.522072115,-3.715494184
7,-10.36555685,63.23058969,-1.206657554,-1.382829329,-2.050053437,143.4520752,-8.843895053,-9.905082229,8.368139776,-3.922975426,7.23980422,-11.14274249,-12.24203823,-9.020959514,-9.111626099,0.894324146,-3.936709801,21.0581379,2.520407315,-3.531245859,-11.49015562,-9.840823016,-1.893487752,-2.010386201,-5.206585765,-11.53912703,-0.424031322,-11.25330918,-10.91261648,-10.38956551
8,-3.836083152,10.18224537,-0.196419797,-9.338059233,-5.558771028,14.68627389,-12.72278178,-9.883328594,2.153564766,1.212697082,-9.327772743,-9.313135392,-10.84597563,-10.33530795,-9.872196349,-2.379579416,-8.405896018,5.125875741,-2.55294799,-8.158028952,-12.31387631,-9.602674318,-1.364425612,2.801909518,-5.874383557,-9.485387484,-6.62734436,-12.08906582,-11.91176499,-12.05378167
9,-8.684085765,5.882583844,-8.930678259,-10.41278639,-9.492745536,5.265374464,-11.11674374,-7.763973715,4.742654656,-10.28007812,-1.815214708,-11.6181917,-10.6632967,-11.5669584,-8.954615173,-5.985162699,-1.719117273,10.38734313,-0.486902157,-7.202349268,-8.794766332,-7.31476399,-5.840518524,-7.58492885,-9.337444453,-7.486398186,-6.683383328,-10.27732518,-12.72278178,-9.996968727
10,-7.577466243,-7.244808738,-8.387553998,-12.5572313,-10.45200585,4.268237175,-12.72278178,-12.72278178,-5.797567491,-9.109140759,-10.71107418,-8.67615015,-11.70759227,-12.72278178,-12.41127343,-10.56497255,-10.06613547,2.982099109,-5.775161433,-7.414088983,-12.29435792,-8.464426405,0.449950506,-8.604157643,-11.35865425,-10.67215948,-7.132172556,-12.72278178,-12.72278178,-12.72278178
11,-10.15911899,-10.36243434,-11.27211794,-12.72278178,-11.77473457,7.262241333,-12.72278178,-12.72278178,-2.750079139,-12.08534965,-10.85903923,-12.15234321,-12.72278178,-12.72278178,-12.72278178,-10.24601434,-10.98763217,6.213094316,-10.12698052,-11.03530193,-12.72278178,-12.72278178,-7.147378814,-10.05307961,-12.27839249,-12.72278178,-12.34853895,-12.72278178,-12.72278178,-12.72278178
12,-12.72278178,-7.94853046,-12.72278178,-12.72278178,-12.72278178,-3.665462694,-12.72278178,-12.72278178,-8.26604627,-12.72278178,-12.14246808,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-11.31142328,-10.57443926,-11.10524986,-11.19878113,-11.26199745,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178
13,-12.72278178,-10.94641008,-12.72278178,-12.72278178,-12.72278178,-4.042635155,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.09251831,-12.04939366,-10.73616023,-11.04808815,-12.09800934,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178
