Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,162.3899989,186.0354931,180.8883937,156.5333678,180.16322,209.4195865,194.4255001,191.0704162,168.7494199,149.6968777,165.1069754,197.8148545,197.6916154,151.6160967,204.6315678,174.6526922,171.2701221,163.0808893,176.468046,161.8706991,140.2147031,158.8480647,210.7293401,167.0103595,155.7105276,158.5905763,179.870133,166.7598486,190.4183537,187.3037788,273.0842329
1,150.0431739,154.4482096,192.6979575,156.4893506,191.85903,193.0035097,195.7380383,197.3655596,146.5364347,159.3784004,166.9616065,189.6082926,171.9309895,181.5817059,171.5088151,202.3915869,173.6753485,195.8842495,166.6638479,151.448326,180.49787,208.643018,201.6098503,195.3439229,172.4936681,152.1158641,171.3904723,188.8962677,171.4507683,150.7512945,266.7852054
2,195.0889792,188.5845878,197.4429255,179.1962272,177.7974353,190.1482689,169.6258729,185.2735123,162.0830032,191.8563481,163.0647442,179.3141837,178.937998,171.2507589,172.4473671,187.7471961,179.3727789,179.8837173,166.5594537,158.6835619,187.417536,198.9802528,193.8155006,192.3107829,163.7947643,180.2098833,180.1251113,174.5537627,183.2505517,191.3566303,261.744545
3,199.3780644,195.2587191,200.0887882,180.4369854,173.8476352,186.9008245,195.7480179,177.9616773,181.9249255,184.2807051,162.6693866,170.2607807,174.9389213,169.8856261,177.9327743,183.4856218,176.1183773,167.3147527,163.5865691,160.0622414,182.7499926,194.5197308,192.8196527,180.0548414,153.1473461,177.5832003,169.6455218,172.5703875,178.2276991,192.2958367,257.2785879
4,147.99942,161.2027686,188.6734172,181.9886689,176.0419741,184.8136513,189.0059166,189.2530534,174.5179922,161.8685894,162.6334856,130.7121186,184.5371607,184.5461096,175.8195719,184.9850182,171.4979218,180.2229961,162.9839052,160.9272226,149.0628334,161.6919954,136.868753,200.707105,153.9373203,172.3452522,161.5839632,175.3645521,189.2146709,201.0981733,253.646159
5,142.9377909,167.1493628,186.8419672,176.479063,147.1491471,179.0302378,175.7545276,168.8581663,172.8969411,159.4406884,146.9038076,111.1871794,181.437496,156.9685581,172.0696256,172.1644524,161.9952456,165.157155,154.6015061,153.7536744,117.3187878,155.5410144,168.2089147,174.3864819,162.4175909,145.7237662,154.2442327,166.031522,174.712604,140.3165305,230.6170216
6,104.513132,148.3701267,144.9410579,129.4302081,60.94299212,142.804036,161.6755784,154.7702943,144.318473,123.9121895,28.71279645,62.81360345,154.0491127,154.9706865,151.4733474,148.2633328,142.4645465,111.3523922,45.33422239,126.44976,97.88498284,131.4362197,147.3147278,159.5460916,123.6654271,59.39287841,128.4554663,149.3344345,161.1618365,184.7444098,192.28431
7,19.97049202,30.877072,45.95156921,22.59469981,12.24774888,104.0153026,122.561479,101.4096053,46.03173394,18.92024795,4.574978998,1.048358285,115.4005373,117.6999043,116.7650334,108.5418523,102.122215,9.205062296,-9.079770946,42.78408223,41.38555282,63.37146024,91.96201094,79.83028438,19.95249246,12.80200705,76.75567186,115.5595712,121.5714009,156.7777943,96.9532665
8,17.13848296,30.59833722,54.23707432,20.32593401,5.996571901,95.77203082,122.0087381,110.6499827,48.93562554,15.12452996,2.525651617,0.336322941,111.2332033,124.4974989,129.0154334,108.9142876,104.2774636,6.937967131,-8.516796561,27.14554958,43.25015001,66.36556747,77.63318133,75.4216756,21.38992723,19.5741252,74.92829861,121.8643532,120.5889836,152.3366499,101.2311872
9,17.12016945,30.82608001,35.24829842,19.36883668,6.528830652,90.80602544,116.4904684,100.601202,30.38159358,12.10801094,7.777196386,4.930692133,103.3246397,113.0864019,99.72675935,98.01532878,101.1538442,6.496487094,-5.493360191,19.91931371,29.31431334,59.29526089,74.11255594,77.35149759,17.70848777,13.20134892,71.62609687,120.5528836,110.3647096,154.7441472,76.04737376
10,9.525284012,25.67612595,29.07470976,20.18159358,1.284242249,93.15339496,120.845755,86.32532296,32.07396937,15.39461548,10.73981571,14.50545262,103.7148992,110.6325229,103.5901622,111.508577,102.9501475,6.238279924,-7.514690586,6.335413508,23.80116125,60.68074785,63.48402726,73.93951142,25.1215656,11.91750607,66.52668561,114.6378284,112.6053788,163.7507805,71.58931046
11,7.925555174,26.28683955,25.41118261,19.31051059,2.469147387,83.23058262,114.1344259,100.1847716,17.16520548,6.450576937,-4.63467366,4.933988429,85.73937896,83.46579493,82.15955423,115.4498144,72.22525678,8.771015381,-11.27799918,6.04085693,20.86806024,59.11536449,70.67353808,73.42323601,24.04585772,12.75712784,55.17542177,117.7382056,107.8467137,116.5515758,57.58913527
12,9.561540438,25.65369802,27.56338723,20.80297205,5.708671264,70.54213576,69.32247277,55.66084159,12.11874561,8.042669834,-2.332656454,6.374423849,81.36444976,87.83097275,120.8145168,105.1581647,60.64834609,5.86048778,-11.16392886,18.20637139,18.11464948,54.9340302,72.49471626,74.59015527,19.30878493,5.035569417,49.1491565,116.3853164,82.94510637,121.634265,53.49581386
13,9.669090187,28.16321805,30.66186303,20.82847583,5.903957935,67.17729943,70.37676028,44.17884847,13.61847461,10.54549179,-1.061820317,4.975428404,83.50401057,76.50482206,107.0997842,88.60017063,61.66294381,7.699318088,-10.98389008,6.339445113,19.86814065,51.54829666,64.61939412,74.47319677,16.55621094,9.146670325,48.73754145,116.4745804,80.97363494,160.3575184,52.13879002
14,12.72504533,31.08913925,39.44715798,32.62413216,12.0998306,57.40681878,94.71611937,79.03105063,23.36472952,13.7529393,-2.099679999,11.23904153,89.93992751,95.5391239,90.42788931,84.56940368,75.99210924,9.997670613,-10.34901562,5.266294583,16.25185821,43.81682216,72.91241324,70.58983071,42.14763696,12.75194726,28.17236156,87.92631418,88.43448224,170.0143788,45.86400886
15,15.4151358,32.06353071,69.89140724,56.65838073,33.96270147,87.53062194,129.27087,140.3013209,38.5518475,31.21279899,4.635384091,31.26354821,103.8261623,116.1069594,143.5879657,109.5068715,80.82879607,26.39948707,-10.15517935,6.267674619,16.1053197,36.16708218,62.80235616,76.37311295,84.26715007,27.67853309,44.88807043,99.77632259,116.2149144,174.036401,69.52685321
16,45.26275644,79.55254446,562.0834711,580.0770122,507.438861,545.5419122,545.5419122,595.9943599,476.9004178,450.7758228,23.46255995,466.6667312,568.9332233,544.968934,560.1395667,550.4057053,517.5903211,451.498291,4.403951418,19.43125708,38.60904886,94.23762823,104.5594043,116.1301001,545.2422452,463.2019123,516.0117844,516.0117844,624.745118,624.745118,542.6349159
17,189.0664808,189.1409113,706.2878581,700.202413,696.4968373,716.0326498,716.0326498,713.1540567,713.1540567,690.0418436,191.7590964,712.7961526,711.1856173,681.8016864,651.5116827,638.6723134,711.3486185,697.2310002,186.7012963,189.0024561,189.0024561,209.4245004,215.11346,227.8221873,718.4131166,703.2579584,705.9830494,705.9830494,661.5502241,661.5502241,701.6911426
18,196.8866576,203.5058818,697.4719381,722.8205143,720.7449655,651.6614028,651.6614028,632.1732765,632.1732765,700.4232163,191.0689567,716.1627045,694.6346939,729.3240753,777.5836231,760.6076216,679.0471615,699.4536059,208.8188843,196.7583154,196.7583154,152.8462712,168.7628613,135.3054335,729.183587,701.5699602,731.1544257,714.6719275,865.0879564,865.0879564,695.3966141
19,183.6377778,188.3344768,746.2777814,720.6561933,729.6713238,762.9443983,762.9443983,750.5564882,750.5564882,746.0000819,160.0513521,716.0383473,786.6541785,907.9463714,825.9214071,818.2509337,784.0177401,755.7356001,178.831008,176.5937543,167.747659,198.1753248,206.993489,188.8124558,735.829027,741.1676802,799.2430661,813.8810883,917.1253597,917.1253597,726.3871223
20,186.8018285,188.4629727,703.6576504,676.3602745,693.6079002,705.1560421,705.1560421,697.1940994,706.7220367,707.8374475,158.8060288,682.0914665,712.6534596,733.1117727,709.4003262,707.6830158,700.1908583,718.4895634,174.1789877,146.6293016,168.4124299,186.7101782,193.4629476,180.4335056,688.3245952,696.0728979,706.7910308,726.7582534,737.9326914,737.9326914,684.8540063
21,188.3324969,189.6055008,693.711601,662.0301811,682.9779747,676.7852795,686.6978081,671.3826965,694.5313605,692.7501473,145.9535931,668.2898202,711.644705,699.5515139,684.3872056,689.9244096,687.0967033,705.816464,163.8957551,137.3364351,154.8583899,173.668198,183.6029483,174.4081967,675.8117765,684.004801,706.303215,709.7023711,684.4241703,736.5132361,677.1413515
22,180.3240378,188.3118474,236.8880697,207.4808469,214.5240123,226.6642646,229.5431998,216.9375618,236.0348843,228.0996249,137.908429,212.3295161,240.7038547,256.2707021,230.1977404,254.6981711,224.4417893,249.3873672,165.3246122,132.4033613,151.3927326,167.6387924,180.682419,160.1352217,223.0747966,226.5088543,247.1019627,250.2796793,265.5648371,267.1550874,205.9517766
23,174.8195816,185.1703996,206.5887711,207.945131,243.7658732,224.4743865,224.8097545,219.379388,213.9854701,218.0948844,133.0966991,210.3112534,269.4671363,261.9296666,229.652066,239.5925755,218.5778606,234.8551154,157.5176137,131.1214101,153.5115674,164.2272507,203.2195417,193.0193799,218.1065619,222.4187196,263.659909,257.1598207,243.4989488,442.3319695,200.3164124
