Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,188.4781873,159.9388058,164.0072389,180.8628275,176.469526,270.553197,206.8733707,173.8878474,152.9747911,164.1848197,158.5241033,174.2576845,196.0683115,194.9814661,172.3266255,162.7269543,152.8937859,157.0232373,175.1390899,202.986288,211.1432113,165.3824289,138.8123206,172.5715587,192.3621213,180.584001,176.1504125,189.2340996,181.5666581,164.0268172,114.6021925
1,155.9832175,212.7025424,165.1868497,173.558169,173.9683933,278.3602031,193.7225162,157.769921,150.6919856,164.1787337,171.1541115,186.6876864,188.2293437,191.4663411,189.620396,179.5919287,151.2459463,169.4506756,195.6977806,182.1515556,208.8810069,158.4500787,157.9391317,173.3674268,169.6085881,196.167204,191.253332,176.7172401,172.6361116,134.228835,157.9831773
2,198.16212,188.7396617,164.5583887,168.1387591,186.3928886,246.2029075,187.1246262,158.8173635,169.3286387,165.2026886,162.1886537,181.8246909,171.4085481,185.2000169,181.6599964,164.8101831,159.6953994,155.0549457,173.0963073,177.6210354,183.9319181,171.6281858,146.7125562,179.9211985,164.4065503,193.4912587,175.229958,169.586708,165.2836979,136.4318341,149.8042689
3,176.3913372,187.912517,167.6495772,177.0660784,187.63848,235.8766044,193.2402551,160.2243972,159.6265789,164.7580879,155.5885794,178.7827165,180.3014845,171.4538201,184.20139,152.7328641,142.0762304,144.4154734,170.6214442,165.7842764,182.8393916,157.5333269,141.9032581,168.5869331,153.1564037,183.3361297,187.7504727,149.918189,153.4725091,136.1090218,146.5169642
4,185.6835865,182.0951722,173.6380255,177.138017,191.8383726,235.8016877,191.9427692,148.5116649,155.7980269,167.2262595,152.9362446,179.1119433,173.7089035,172.9909542,175.8022512,142.4889025,144.0181406,149.3329735,162.88762,170.6891508,175.6186551,147.0388835,150.3019541,172.9618017,151.9852272,192.9660062,184.343288,155.6613975,147.9740248,127.3765375,152.6593589
5,188.85801,173.3401692,186.5599917,180.6386576,187.6061228,246.1303183,192.1082717,160.142874,151.4904044,174.9404141,158.0001984,188.8426777,176.948654,191.1298623,175.3027663,143.9805451,161.4731709,173.6024258,182.0539011,187.1144575,190.8232018,149.4234095,151.0033328,189.0077927,160.3140302,192.8437663,189.3203722,164.5224292,144.8208269,133.0238569,165.1672152
6,166.8270938,185.1408624,175.2015203,167.4727529,207.8549878,277.9663862,206.3697998,165.5248631,166.5416332,182.1699481,188.1724754,195.1200341,195.4729422,190.8954335,188.4704176,145.1988714,179.7618285,186.7130076,205.8124115,173.4323953,218.5669693,154.7693068,162.7760702,199.6943786,177.9651802,192.3002554,198.8682232,175.7928887,146.8472551,140.6982736,179.8492611
7,107.6650613,79.31277764,126.6636216,154.8323932,177.6446177,180.4711907,198.4965091,141.0484004,74.59511295,164.6309827,125.1383649,134.6444928,139.9678757,149.4305346,114.7268639,20.63150276,112.0889997,136.8098275,136.7200378,148.4430544,168.074802,116.2737944,20.46973118,152.1280795,121.3216307,182.1044696,166.3773133,171.7588876,141.1271702,90.66985738,171.603055
8,15.26958529,-2.892942074,106.7637858,122.274158,201.0702739,150.3267871,205.8724078,140.7255098,20.83938324,137.4346054,69.97074622,121.1441144,118.8067238,122.391292,16.97689993,-6.083807707,42.6706682,89.31025384,83.97943496,120.386219,131.0990943,4.854514102,-8.788253518,97.94435176,18.8637757,169.0167831,190.3969425,147.008679,115.8975293,-0.127707643,174.9446073
9,0.171032114,-9.595054717,46.15305595,118.1560231,188.5279493,89.05759306,180.6878478,108.045394,-7.633792664,114.1885248,32.34543925,87.01028958,76.76315478,40.60741484,-0.336427504,-10.40338688,20.13827148,25.60155279,22.71412851,71.73596106,25.8669652,-11.59375938,-6.490087096,1.736827329,4.037954589,161.6226047,175.3868327,160.4257562,98.86261406,-12.34229902,139.6454451
10,-4.272473436,-10.29171872,20.38718255,115.5367668,173.7036638,70.88548714,177.4839411,47.20547523,-11.24197917,42.76721487,11.64569661,67.2507845,52.91138479,16.08297701,-4.022688035,-9.871655588,10.1113262,14.67409644,15.56502624,41.45272984,13.62150476,-10.42292853,-11.95901639,-0.77292966,2.803375931,122.1800006,148.1892517,154.4725066,95.10156048,-12.4993947,112.2304028
11,-3.1718011,-11.31493066,10.2069134,113.8409798,168.1553428,59.51003548,175.0653984,45.76395519,-11.72616195,18.72851648,10.9889924,57.11473944,30.56836418,11.51001571,-8.663328115,-10.59527778,7.426487141,12.09177502,11.68270948,18.93723509,10.63792523,-11.42186386,-11.73120507,-4.768512433,3.134298942,126.7819819,126.9998857,127.9219827,80.36902962,-12.72278178,103.2391007
12,-10.74450749,-12.23558017,-0.986792381,120.7428566,167.3554779,58.67730781,167.653222,56.66212591,-11.82347133,10.06146498,10.93104118,30.11905605,27.69177472,11.28789035,-4.923462477,-9.893430737,-1.129788564,11.37947482,11.33598225,37.13946358,9.895908617,-9.852854894,-12.54502688,-6.08104764,1.164611626,120.3813206,133.7546804,110.1903495,61.60202131,-12.4993947,105.086917
13,-12.28492768,-11.68926268,-8.984934904,113.0858428,186.9824784,58.49859089,180.3044272,39.79269554,-11.82341856,6.954629402,10.61234275,32.03763812,23.8832964,11.22190988,-5.128315122,-11.5840998,3.314340912,11.49116887,10.587366,16.40356927,9.395979772,-9.726258394,-12.42556088,-7.879182465,-2.116552111,134.8571828,147.0492606,118.164585,96.10383931,-12.62014493,100.7234775
