Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,137.7974401,185.4559526,173.1273927,107.6606105,158.081651,212.5664082,194.9387513,155.5382971,148.7927773,143.842518,192.7591122,144.6673606,149.3264339,142.8158916,173.5937456,211.8568676,184.7779905,173.4510034,150.6840212,158.6383858,181.6487081,204.8541469,166.3711308,168.5442808,128.8035,185.2899494,166.0825759,170.3074772
1,138.4961682,156.6173039,170.0571254,99.23150419,155.2656003,179.4134701,233.3942778,178.1114301,146.4280324,215.0528157,182.1028359,142.8828664,158.9758125,140.2017532,171.8998562,165.3171863,188.0644166,190.4886449,198.3900838,152.5418686,194.7076225,151.3335664,164.4201682,154.4096893,123.7957883,183.5279951,168.6003256,169.0611968
2,138.5149689,154.5910301,171.7927548,153.2825172,153.5873278,177.3255689,191.8381843,186.0467903,161.9486562,199.1346561,192.5759356,145.8256844,163.658121,135.1920055,172.0272621,197.2557199,178.4480111,192.1436551,192.3895073,154.0188127,192.3222422,196.1052587,166.5118414,152.8723201,170.0130634,183.6532107,200.9056947,172.8284189
3,144.9470753,176.2099448,161.1266855,131.5011235,153.773092,161.2122402,195.5225597,198.2618388,201.7960204,190.9503751,190.8328672,141.3641853,159.3627075,148.1144635,204.3451778,192.2020585,189.0001668,194.7914539,197.9852478,160.2482044,188.4527885,187.7867181,161.7469306,148.3565278,203.2328346,184.5257138,202.8165565,170.8323406
4,146.6533284,188.1455767,156.9113438,41.43270716,157.249383,159.8550885,198.9054565,198.3251267,201.6562538,200.6544731,185.5118137,149.9545278,159.8227953,155.3063761,192.5263695,213.0770632,188.2746893,187.5189647,194.8423202,167.2070345,183.2540315,186.0894894,166.0479724,129.2517984,203.3486321,188.6497361,219.1127033,179.7249797
5,165.8596143,161.5690963,151.0391712,41.53417793,174.5654793,170.303366,221.2192101,189.4885151,201.4954699,209.0510574,196.8394501,166.8071469,185.4488887,153.8747011,186.6195998,181.9194532,183.580738,190.1936575,194.8568124,172.6472496,212.0772555,195.3101782,183.9395865,101.48878,116.4090049,195.8444761,181.8846814,189.0786027
6,169.3773122,167.8150178,174.1254681,39.33421712,173.0376257,177.199771,180.0493553,156.8010599,152.2133946,155.2964465,132.3269126,173.0979903,187.4688759,153.7376778,194.5678299,193.9656826,155.5197231,196.7694906,208.1983021,170.4126688,190.3075675,170.6069123,183.3444571,64.44201008,112.8841892,200.6827207,158.6383363,184.1188544
7,149.4897398,185.4150399,56.5783884,16.19338633,165.7672635,150.784985,128.2130752,158.9864088,119.2354284,102.4985464,63.23652704,145.4555805,173.2635627,147.9708459,145.0010603,145.038855,73.4070031,116.9204384,149.7514652,171.3854976,182.7284092,222.8081435,152.0302065,53.62651601,24.8295981,117.1182416,115.7732675,129.4085136
8,95.25939307,125.4421244,25.47748668,-8.102680733,47.80827147,94.08884472,68.64633495,40.76981696,23.97614951,7.153227224,10.90397731,35.67602106,29.01754891,31.18416389,17.56255429,38.53105005,2.850381085,46.61181051,122.3577386,140.4923564,110.4170961,125.5449166,123.3315756,10.42872699,-8.913389203,12.26266451,29.78598577,17.75429744
9,21.8022102,122.9923988,24.87846929,-7.457421099,20.77124119,31.01407673,19.76935813,7.943105176,10.73597013,4.013559415,-9.96545312,17.79960725,6.507496256,17.48379912,0.494987599,4.241879742,-11.72427237,-2.683600143,102.9613804,116.773562,59.32974338,125.777584,114.9182405,3.799209615,-10.47702352,-7.171989087,18.69257998,2.354862811
