Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,116.2177835,165.0996092,120.916832,177.3810934,177.8838817,177.6041774,162.5482619,188.750803,130.6070157,182.5756011,116.3806188,105.5454254,133.7930591,112.0128843,92.33708084,100.8379621,116.1497727,134.2797027,137.6013776,86.67574838,139.8300287,117.3022597,161.1061999,136.0931418,128.2568126,107.8331511,125.1623803,168.2682701,151.9376899,131.7994586,154.6101415
1,150.676335,151.005334,142.1021052,162.4318487,151.9934613,162.3919161,159.1421865,160.198892,159.1931197,158.7584921,108.8959821,121.2209731,119.2619418,106.8628775,116.371425,162.1475147,163.5207715,159.6128095,144.5321431,108.1778992,139.5204753,104.2599963,176.8789979,138.3233261,142.8656812,151.5945368,163.392046,159.6691199,161.4104004,165.3615944,151.836536
2,142.9337377,145.4520645,134.999621,148.3352511,134.9963022,155.975777,158.4795006,140.8145622,156.8756217,143.1823191,145.5671335,131.9376626,129.5741954,141.0239435,148.9208848,171.7664422,162.0419428,156.604492,146.9117955,125.8275081,138.2885066,132.8603929,159.3765408,149.1439782,102.7377193,150.3106107,162.548928,140.2365627,148.2622342,158.1533964,145.8917268
3,144.0967708,141.0019754,135.6833726,145.3778264,141.0516919,157.1930045,143.5127759,139.1383563,132.4482312,139.8272456,135.4256582,136.78563,115.1836528,126.2511906,133.9380776,129.082459,117.5022681,138.8481564,145.6458396,161.8972866,139.426837,161.5616802,137.1744559,166.8696384,147.7065714,139.0752891,158.6359376,129.0756969,138.1217701,150.4697059,143.0180619
4,139.0740307,139.4496966,116.8683541,120.2154356,145.8221826,158.6652841,156.1451197,136.1102887,135.762826,135.8050067,140.9039955,118.7038761,109.4137132,130.754473,82.26031529,102.6083435,113.07986,157.3132852,153.1466117,164.6360406,138.7256121,163.8751028,145.1724104,138.244019,112.1889517,129.8535772,154.1162829,118.8486311,127.7283559,159.0598642,147.674251
5,37.76411858,125.4824051,123.2079105,119.749248,132.6847418,137.5513434,132.2653565,91.06582154,136.5651036,107.4757989,131.6470637,138.4528892,106.8030452,123.2516094,84.64791913,73.78258539,103.6228143,144.107412,162.6435273,154.1027555,138.9126364,119.6340145,137.9770859,153.6164792,154.1246472,148.7129121,158.9132404,118.7661283,129.5418377,132.2668901,132.3584087
6,-1.627410531,75.01047798,139.337768,148.7154004,154.1500419,145.1103815,121.463582,37.88678415,63.23949894,60.4311414,32.58533707,29.18023834,18.74982776,16.64798016,9.355982701,27.93883644,22.1580825,140.2259063,84.99395939,57.41945235,10.9526063,8.64900458,108.7058797,140.1472383,149.0045778,154.3482913,117.8897045,57.5934473,23.5699018,141.0623735,130.5959713
7,-6.578797115,24.95616022,113.4643173,92.9597086,103.6742841,139.4081301,22.19912741,10.45537167,16.24064318,21.38908629,8.024599529,4.270911561,6.78069186,-3.736925958,-7.524111331,7.4975326,6.655493443,95.10111036,18.23660685,16.01718949,-8.914958025,-11.32706929,27.95318007,57.11946692,60.0781042,38.18626587,11.87397611,7.443760062,6.863196284,138.6981065,129.6913312
8,-5.568699319,24.46406093,97.18918692,88.52172314,84.17573092,124.9614984,19.56081834,3.389994578,17.8097851,16.40029156,10.07861153,0.309851149,-8.569738256,-5.616170448,-4.636618227,-0.296318656,6.325413692,24.58579208,14.80713101,13.25566624,-7.817916554,-6.671791914,21.04973964,60.48037336,39.50969221,25.42252196,13.11586377,1.846407659,0.266900863,94.94853282,145.8018971
9,-6.805920008,24.7627716,115.9770657,68.91857307,77.67838434,132.7924183,13.75855916,7.044176964,16.02991915,18.9000269,9.411314929,2.512409275,-3.923032581,-4.142211079,-9.575347301,7.066824327,18.64568993,24.97515995,13.73513644,13.32358219,-4.408370317,-5.262726914,23.33678325,51.63229576,35.93545352,28.23451905,11.08035239,2.784808031,1.862194064,96.72598153,144.9472246
