Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,140.7108726,116.5958412,83.1556618,118.6197144,118.7168048,123.4677944,195.3052171,139.0970195,114.2469299,139.8450812,138.6273226,148.3830212,133.1979685,105.4156478,136.0775624,130.29939,91.98862902,121.6245088,95.19075745,95.26034853,137.9409865,104.1710303,122.9758866,98.87730122,99.85895257,129.0278273,181.8932479,157.6189125,140.4493961,69.96801109
1,138.8321427,134.0588256,120.9231706,132.9551319,170.9137866,133.4525568,171.9653775,156.4372093,117.6832344,131.1956566,185.0135194,128.1498474,125.8964499,127.018241,133.5507946,132.8344181,91.3503873,106.42078,88.35372292,78.70154434,116.2726648,134.3667201,134.8419194,95.30401711,91.45104022,165.2109018,166.9935956,163.6121449,148.4303508,112.1008391
2,142.1563053,135.1041784,170.4904543,171.9311466,168.1569178,156.8871182,156.1985132,168.7506299,142.02897,136.5323563,176.9352004,149.7975705,113.3219587,149.1893641,158.8499982,141.5295561,94.74180893,122.0840234,92.56006237,89.96240934,127.2398571,168.2571437,139.6876773,94.10864434,101.0474064,162.6089052,155.1085896,142.2256226,159.2728558,101.5626393
3,144.0035528,138.2131207,119.0262158,127.8970445,129.2986939,135.3391853,151.4988323,151.3382442,154.8646646,121.3188928,143.7624032,148.0880459,133.4859299,122.3351051,143.5722968,129.6030037,92.16376208,114.40922,78.10845374,86.88508989,124.0722178,128.1980796,143.0990477,95.44099333,70.0498234,157.726874,152.2398162,139.4182192,153.4212883,141.7997697
4,140.3778554,138.4653823,84.86666776,118.7016506,108.2983152,131.4491913,120.8571176,145.7416922,154.1205501,115.9556171,141.703344,155.7362286,136.2339641,123.9511007,133.6195416,132.0887722,91.50728053,125.6721227,75.44299962,100.5475007,112.7228994,98.60353568,137.6285686,93.09568059,66.49370914,143.1169139,142.7308134,133.7640334,158.7462673,140.5915832
5,106.4072929,135.9238682,67.29316642,98.559927,76.39970641,97.57943075,107.1382851,140.8201477,164.438578,84.84079545,104.788203,144.0252642,94.52087491,79.55621007,97.01632365,148.9068833,95.49887245,81.584532,61.3075303,87.56259997,92.85647411,68.42019788,119.547367,72.91860525,62.9357081,115.7080828,133.2927235,129.5539611,145.8040764,140.6341272
6,15.52567772,21.52583105,-0.70948642,26.05014463,31.36647487,41.88894508,58.61612179,40.62442182,26.83148949,2.62465297,62.81807834,103.3460289,14.37017983,21.2455408,22.54702582,16.29492903,0.857995023,14.06505778,10.61660366,12.8111354,21.6420379,23.31570773,12.48719608,19.99610613,16.51688408,78.13234522,103.5588152,106.340883,126.7620715,62.19574433
7,19.27287083,4.699541178,-9.850223982,14.55839853,11.63731088,10.96029447,3.827851115,17.38167682,12.33145271,-10.22854424,19.77408922,12.41994412,1.537978518,10.20105963,7.295528627,-10.21597259,-3.315859951,-5.916472486,-5.67185067,-2.366727994,5.533603832,6.018987158,-6.320934311,-4.865035325,4.062274895,13.91721254,26.86503969,73.03885669,101.1157563,30.93198288
8,11.75537469,3.083571309,0.323444943,6.525182977,6.022704393,9.954992072,12.01076119,20.54424273,2.847582427,-11.20688275,14.74024755,9.751959079,-10.32463571,3.798505774,-5.257717977,-3.00980625,-8.166106695,-6.637868381,3.740103771,-6.141988997,10.53591992,8.34987678,-2.750538017,-8.354275574,1.634360844,12.35583912,21.83730507,72.96689595,105.386834,31.32680767
9,10.01327747,3.781561418,-6.947124663,0.811210878,5.58294005,14.25354861,13.01470332,33.10096721,10.92109665,-10.29634475,12.54949348,13.13777141,-2.077460761,9.614377276,-3.639504471,-10.04780075,-11.28736504,3.720932325,-8.508947568,-1.524290802,2.650575095,0.301429331,-2.783025344,-5.713338602,-1.960085123,16.24063138,21.44602213,66.98691972,101.9885162,25.35322172
10,9.636211227,7.742965473,-8.519181517,1.461882217,0.497368499,12.94374593,10.37075787,40.67976377,-3.586627618,-9.592051767,8.086158891,7.841264764,4.962053937,1.583332244,-2.286281441,-10.11061266,-7.756117727,-10.79849106,-10.3547216,9.194857278,2.808815579,5.007237586,-9.776913928,-2.623240059,5.168536642,9.088354323,27.32280104,70.32424018,99.27470964,25.19924271
