Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,173.1471502,187.9971671,158.9791234,122.6404169,143.4623847,141.1835031,111.9320313,122.5695582,131.5319409,124.7814996,105.388055,143.1327305,136.4989277,132.5694459,101.8636199,190.3051466,61.47006262,59.03649203,136.555174,199.2134976,172.4972163,168.5946719,197.0200315,124.551992,145.7113819,122.157704,126.9209169,206.0620371,133.8438976,118.9849836,118.0463272
1,171.0628123,183.3512961,178.3100731,130.4662493,157.1462993,130.6961113,110.1369609,122.8734607,159.8847699,127.8509103,95.94380111,142.4105165,148.6369526,129.2481269,141.3694906,186.1280848,74.13152931,59.89255909,141.7967037,193.5030678,181.4005819,189.4173518,192.886707,124.4810707,137.8538683,112.0973741,116.0934898,174.4218095,148.8572756,108.4837121,109.2180884
2,153.1181283,176.0764293,182.9586549,177.7651844,172.5786098,127.0376942,113.2307377,117.8384298,189.4933976,126.8409746,80.94969963,138.8991329,197.5949993,167.8743106,157.6750211,174.6556607,69.74672954,46.4374813,141.3359311,184.4955097,153.4156474,173.6722233,165.6277549,127.1215109,168.3817096,109.6891874,113.3360496,152.9812846,142.7437488,97.34914395,116.486677
3,141.3776767,180.6956485,175.3380639,166.6717507,158.3126976,131.6826087,151.4970745,119.5396057,173.8191124,127.4536606,84.292912,168.4882374,195.1977346,174.5443462,150.0227154,157.5060844,73.09448705,45.31330634,136.7015645,181.7890268,154.0177822,162.4017033,151.713318,207.420298,173.4314943,108.5662301,106.7543386,152.8481,147.3838965,103.6559649,112.3901728
4,146.3253392,186.0843391,172.9985385,157.6309788,162.745618,131.8936773,155.6100468,129.797523,179.8968183,132.9227703,72.51582412,156.1927604,201.5084946,144.8314386,116.6145582,138.2357576,71.47026532,43.22485367,151.6325309,203.9083368,167.8671511,133.0519628,173.3615592,195.3079623,162.526079,110.0487559,104.5254456,124.6788515,145.8054512,101.7226176,113.2490364
5,167.3030241,186.3386421,177.4229405,155.1786142,148.4228867,130.3626318,114.8051062,126.1364156,139.415576,137.3888194,66.37688457,150.0669261,149.1304786,141.8091815,99.400878,133.2562318,67.38682722,36.90019711,154.9429323,181.0723931,118.4197826,135.675047,201.0127405,113.761843,148.7392248,119.4729584,118.6877846,103.7203415,97.75792539,113.3243964,118.7926307
6,149.1423293,196.8403993,133.9360618,123.2721571,147.5430625,124.5116612,91.2380526,119.3840661,132.7827037,129.7243208,50.54431182,133.877862,137.4887083,120.7037724,83.41852231,125.0873206,39.09616718,18.27631284,151.7995069,138.7618433,89.40305916,122.9352992,136.1226301,60.28440656,82.46036311,109.866094,83.95285403,50.54958087,138.9407553,89.66326708,72.67376796
7,178.2539911,153.2016925,77.18595048,84.9429505,133.6117381,112.6010625,29.55572359,2.567659487,129.1582422,37.48984381,-11.11543623,13.25522067,119.5907795,19.01332068,4.781058079,8.489593003,-5.241199568,-9.487436261,15.98788414,135.6113893,81.13436363,21.0645001,72.61340714,-9.109521682,-5.726110076,25.52696883,4.491815427,10.49497022,121.8086597,-8.747012593,-9.488218639
8,117.5524375,115.0380823,5.367500906,-6.052887744,78.09576813,84.7326109,-2.779055912,-10.66136861,64.92324322,-5.126881675,-10.6293072,-1.923231981,23.53894335,-10.6796951,-9.895112236,-6.199721557,-12.2612936,-11.21244079,-8.848095249,5.146432812,-4.886877351,7.434182531,0.56335134,-11.93502998,-7.450072651,-1.857352123,-3.980932689,-11.45996761,17.5487249,-10.18299411,-9.233330689
9,64.63778589,64.17037704,-10.29228371,-10.66420618,18.33688298,21.54653923,3.160193625,-11.28742725,10.09676597,-5.326094662,-10.43461312,-8.171362495,8.529718168,-9.948298117,-11.5862609,1.69388958,-11.5677735,-12.56861436,-11.17711949,-3.30272132,-11.45337015,-4.185796294,-5.802696672,-4.612584181,-0.840719036,-10.59884143,-4.589286782,-10.35686318,1.33424858,-11.30216371,-9.774184506
