Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,119.0880919,158.2160777,130.2317928,189.3489874,88.85450042,59.70844333,166.8313245,172.2232264,122.0460406,113.9698377,93.1620402,46.07015723,32.8322549,55.28913375,53.04529327,40.22729065,34.49534792,151.480146,134.4522151,160.1787164,147.9988962,165.3104671,134.4851109,128.8856398,54.99849225,32.36088106,35.32334989,109.3034683,162.2415075,77.48592867,97.06480985
1,168.9522781,165.7472114,123.439714,169.5189768,99.27073592,67.48839897,140.9870444,160.8739652,153.8048395,155.5637613,142.1858229,48.56469298,34.54495262,54.64984785,49.34029406,39.58942432,33.8045444,169.6637548,158.2299314,149.0644494,147.762446,154.5297926,141.6949397,105.9223975,47.14048721,31.93043926,100.7739374,174.9519919,164.7957773,130.9459406,95.03539187
2,157.9253969,158.0366721,135.2493404,157.9618016,102.5575513,77.10281955,146.9157942,148.5294003,149.7456142,154.8248898,178.5965631,54.68889202,33.07971571,60.9232693,52.12564773,42.88202873,40.8811964,169.0315379,133.3688782,154.8758474,147.0363421,148.4991459,148.9130069,108.9909202,43.5251741,69.92947297,168.2400038,164.4644713,150.6236976,164.1544086,84.37722063
3,119.2697199,163.2654506,129.1791923,143.3848401,97.22213401,72.15694857,152.2992655,160.7468266,152.5459166,153.630948,119.9197337,52.45072101,30.96857547,56.41238337,53.00503773,39.09904669,37.05009797,170.8596833,62.64355672,152.6565549,145.4427095,144.4516122,132.2807892,115.8071701,68.14697987,69.52328308,155.0749956,109.9005528,91.64065648,152.4798032,92.88909283
4,58.63900353,111.7903975,132.9100688,123.8484672,99.92382834,81.18059556,45.20359527,143.1946414,165.0526686,151.8745425,102.9759702,55.30868185,27.88615908,70.51725315,52.32386414,43.08244943,35.40404996,92.15130125,68.98821292,119.0918948,115.6509336,112.2496207,138.6911063,96.16172449,67.12009243,67.35207294,27.82272413,59.24163621,59.25607722,55.38719369,72.19178569
5,40.9783618,92.24846629,119.5735438,104.6033672,104.7536475,63.07328047,34.02315762,92.15400183,130.8490122,147.5353561,82.56911849,52.61665421,28.19044123,61.43166923,44.69172682,38.0665022,32.15783253,18.99354595,22.05654567,31.34537054,87.03918346,83.32138983,115.6848949,77.85720699,57.8648671,53.22802445,27.00402366,41.38489667,38.65021867,38.15354498,82.55166066
6,24.61460096,34.24191857,16.82081083,41.12126845,24.35343278,14.23024521,130.2122605,32.48202766,52.77527341,74.9572175,10.00522629,2.290794166,-7.137722254,14.96327491,10.54933759,7.181054527,11.2563843,2.47863266,-10.53064764,-8.473959979,21.23131461,22.31282064,34.75515017,22.57610478,8.674641858,-10.98310416,-8.457356983,14.40883091,17.35764881,24.32048379,80.11451505
7,-7.965195161,18.51130078,1.09877826,5.086568103,-10.42218235,0.522053753,22.60723364,1.027739452,12.76518767,9.992883617,-7.425694341,-9.512918168,-11.70389155,-6.897730115,-7.143250155,-7.308047422,-9.828797464,-8.605281232,-12.26265682,-10.32776306,7.41818589,4.060889821,5.872014762,-5.294314844,-11.77727837,-11.66444659,-9.182552801,-6.464682879,2.434446685,-7.099548165,23.28850575
8,-6.310142686,4.155256172,4.278410118,0.100814767,-11.96528361,-8.251586918,7.540847637,-8.275742825,6.556106091,-6.70621248,-12.72278178,-9.564684678,-10.55919496,-4.719452894,-8.961679739,0.598446491,0.505848719,-10.19774558,-9.635539618,-8.789334214,0.430342565,-3.907627107,-0.259600531,-12.14210555,-11.66029121,-11.45686536,-9.893709416,-4.985960504,-1.752854766,-7.98451719,30.26937174
9,-8.654819434,2.784933161,-4.327116765,-1.217832883,-4.691968268,-9.739801628,8.510617463,-7.979018086,-0.000389489,-5.641484229,-11.33006192,-10.02201323,-12.72278178,-10.04281437,-7.039159791,-7.723004551,-9.74283793,-10.15858135,-12.72278178,-9.495045696,4.988802025,1.763998758,-0.363228776,-6.076952579,-6.767454728,-11.39351015,-8.680287962,-0.661488535,0.077089057,-5.145811572,29.35209019
10,0.380044037,6.749818898,-5.353625338,5.260461374,-10.29439264,-11.72297942,-3.405921911,-8.582312039,5.459651426,-9.935303607,-9.443808926,-8.931320793,-12.72278178,-9.36156103,-10.51682855,-9.74966786,-12.30983869,-11.65479116,-12.72278178,-7.863465375,2.086486707,5.277540822,2.542587197,-9.727191797,-9.599802301,-10.10017429,-12.45711719,-5.792362621,3.460413329,3.048557523,24.82714256
11,-7.665505766,1.701362663,-5.80799526,-0.09205579,-8.427885147,-10.51374544,-6.322839865,-11.56583637,1.836180674,-2.654340844,-9.131192552,-10.16810352,-12.72278178,-11.4098209,-12.72278178,-10.28008811,-7.207623386,-12.72278178,-12.72278178,-12.58695727,-5.852544964,-4.607514999,0.597653493,-9.732898243,-9.300460759,-12.72278178,-12.72278178,-7.4795209,-4.510202057,-3.841751043,30.11196553
12,-12.62475142,-9.565276236,-8.198555375,-1.365026442,-9.963005281,-11.69799388,-5.399619427,-11.68303154,-2.087042623,-9.688403359,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-3.580073805,-7.207301559,-9.436089512,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-5.790136897,-4.797047465,20.88693582
13,-12.72278178,-7.710579054,-11.20307691,-6.971256716,-12.72278178,-12.72278178,-8.770006951,-12.72278178,-7.264152587,-10.45529781,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-7.294630178,-9.058456206,-7.983832489,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-8.404609334,-8.272039011,18.63382707
14,-12.72278178,-10.49926266,-7.384650725,-7.997611845,-12.72278178,-12.72278178,-11.7284573,-12.72278178,-6.355295793,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-2.388379979,-7.279813427,-9.13069268,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-7.822154279,-12.53296632,23.12484643
15,-8.963148913,-5.659662965,-4.557227073,-7.047659572,-11.64479505,-12.38339823,-10.16689395,-11.69293875,-1.808814385,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-11.66576724,5.55371961,-4.538930971,-6.059624285,-10.34488677,-12.72278178,-12.72278178,-12.72278178,-12.46396824,-2.828952496,-11.40172942,20.55967645
16,2.99641489,11.38409856,22.34020146,9.192675534,-9.757044334,-9.733740912,-7.840051535,3.446318604,37.81754196,-7.68258794,-11.49402051,-12.72278178,-12.72278178,-12.39791663,-12.72278178,-11.44185008,-12.72278178,-11.51079038,-6.800341953,-3.679026703,39.3393687,15.4630094,7.672606658,-1.284132063,-12.72278178,-12.72278178,-12.56607264,-5.868871449,11.26925948,-6.092642038,42.21588456
17,139.1729326,168.1632186,194.162404,167.6059265,44.22715322,25.2805158,86.44689626,145.0931564,91.52931207,86.01151063,50.00752929,-3.729795742,6.394570885,11.96591268,10.57033739,19.61015438,11.96142061,21.53669317,91.83764915,85.61810122,191.8894755,184.284891,129.5023475,26.38637892,12.37297027,-6.126552733,31.41236949,83.60271972,69.14400434,54.60745086,84.89930853
18,143.3852596,202.6191271,163.9748207,215.6490929,181.3409928,164.823661,194.9090434,180.8208652,197.1389798,182.360493,173.9245897,129.0163541,165.864021,173.5718268,152.1852831,145.2318984,167.1537648,153.3791774,149.3997552,196.1451341,160.2977048,206.8014969,173.6178377,149.2622902,153.5528137,125.7711007,133.9936972,186.410326,166.8536011,168.9661144,172.6332102
19,137.2734624,153.8216129,142.4359933,192.8562223,77.41801545,146.3616118,178.1516705,167.6967187,189.9916066,172.4509396,175.7888293,139.7148262,117.5373014,179.1493962,144.0420571,142.3802759,161.3911695,180.9264208,175.2482912,199.0395771,125.8374682,163.148875,148.0723243,134.1123644,127.3742882,80.53233061,122.0453051,130.1198195,164.8937598,176.3401374,164.3849379
20,100.9814298,141.8901556,145.2030722,173.2668771,71.4864651,60.37931045,150.4295467,111.5253135,136.7736919,106.1137798,76.44617051,49.79097733,61.51966223,72.68786933,48.30145402,35.91260476,57.97201633,164.4596938,93.61817526,118.4915864,130.4588702,136.1267672,130.1136556,90.04817575,55.38727246,31.12362893,81.6396207,92.08936893,82.90997601,138.9774385,122.1117837
21,104.8653226,142.4609462,139.8382283,144.1481047,72.07545132,52.36975308,125.4899035,112.1626848,133.674129,103.2112901,63.31836523,43.48446906,64.17024024,56.79409767,48.19016052,46.84473008,70.38489152,166.5863514,85.46286038,146.647991,126.135361,123.5034958,123.1147323,101.1109881,44.24408032,35.47375998,76.04046631,87.55828026,86.50320408,105.948325,122.7133786
22,115.8927455,153.9039036,152.4270793,100.8949173,72.33899704,54.04105005,121.4203423,109.5606044,125.3976712,99.71776623,41.04264227,37.18556322,59.37164528,57.92080385,35.98348124,40.50949648,69.73991954,126.1944934,99.82760353,131.0931913,136.9972745,134.4280146,136.2818524,71.20753852,32.37575164,32.69879698,76.87800847,81.75507124,78.86723833,103.2608886,122.116199
23,135.7723102,147.7363733,180.5796646,105.7559393,74.77697647,80.35727722,132.7200608,111.7535065,124.3139581,88.31525498,48.80087532,34.91789751,59.71698632,58.32106846,40.60778896,32.25780323,88.92606992,92.85744224,132.1012613,118.0432924,163.0756202,137.8336857,143.837478,61.0669008,31.09145944,36.45595681,62.73537012,94.10786885,78.80648806,97.00138541,122.3880064
