Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,158.2634007,170.0236403,141.319609,141.4027431,140.9829398,150.6935735,174.5289266,133.891334,148.9705319,153.8530195,152.5761434,137.3357498,130.4476395,127.7053301,131.5474532,146.4947333,124.118801,136.967353,139.5064869,160.9614479,156.1083987,147.2965217,148.4103345,148.5649907,121.3552363,127.8478423,138.4468434,163.3522192,142.6779726,113.0697185,115.6335334
1,160.8616919,169.5415309,153.5705374,136.8419462,152.1548818,159.8189475,173.5340796,142.4305819,155.4410635,164.9910126,158.7357665,131.6550085,138.3883862,134.2060776,145.293381,139.0026607,122.0732806,131.6953119,148.6938072,157.0019501,158.1286385,142.6753858,154.0694146,137.0086332,115.4053009,125.093906,149.0110248,167.8645416,142.7674446,119.2419886,124.3930003
2,162.3745151,165.7154278,162.0962543,156.0687259,158.6985836,162.2459728,165.0325253,156.4762785,166.7448562,162.1326768,157.5925269,135.5494341,137.3956848,156.5616207,153.6382058,151.5258757,122.9548336,133.9541141,142.4103849,150.3508669,153.8358011,153.765787,151.7648835,138.8004233,129.2737118,131.5072856,171.5784433,161.0326971,137.4353203,125.9212024,121.4701838
3,154.1437329,170.0894663,154.4995231,145.3517943,152.8854693,154.9596953,173.3916484,161.7333762,167.3460925,150.5764824,145.3922143,138.2842825,138.2968605,150.4729847,152.7292383,146.8082691,122.9486202,130.3436535,132.9295485,145.6135715,150.6013429,142.5791845,147.0014235,147.0564091,129.6961445,131.8348809,153.3879877,148.6146561,125.4441806,127.7849251,129.1626206
4,149.1608473,164.4583033,129.4958742,133.5412456,152.4181743,155.2383508,154.2987685,159.0861648,168.9630827,145.6157134,138.1965485,138.798975,140.1924152,131.9533095,143.4858566,139.1455693,121.7943699,121.5856626,132.8103054,149.435447,145.6183487,129.3333469,150.6085318,144.2569636,127.2805096,133.0638354,132.1527027,139.9641637,121.7008533,114.9283528,128.171641
5,143.7119272,157.2591799,127.1141077,131.0740348,146.7764605,151.853269,132.9152454,149.1328515,163.5125926,147.6994378,121.6964743,143.323529,134.1962024,129.0632283,125.4973298,132.6300224,130.8675532,114.5594121,127.439425,134.8843805,138.4004722,124.1869387,150.1893617,127.4743901,117.42688,134.1011941,133.407962,138.7211597,114.0890321,110.7835925,128.7567954
6,111.3571873,140.3680421,107.8198858,87.97382622,126.9510288,144.5584307,132.2373279,108.2740253,133.8756458,113.1881596,100.106891,124.4053824,110.8707575,104.932368,106.4463121,107.2135836,95.77644311,102.4579113,122.7559735,113.2278473,110.5172521,107.9302528,114.7526955,102.6983459,97.42187721,117.8962492,109.9023779,115.2189282,109.6667727,96.14854159,121.8020949
7,92.81963234,110.6070335,52.95958675,50.72081187,83.64966752,115.135202,92.5565221,84.24313287,89.17731611,75.91693939,48.34740406,69.23166282,82.17038729,60.46358595,54.9661943,43.8850135,39.76390414,55.97279002,72.90084619,83.81623754,78.62743327,82.30387038,73.89293616,48.91061034,48.7985824,66.44805767,70.41374675,81.3394948,92.9449009,56.78758287,82.98359539
8,56.61011113,65.83850639,30.43468357,30.10703333,57.53490389,74.74598221,59.66502724,48.05257195,49.14479163,40.09291167,21.58871826,37.91879712,27.98308508,30.40440538,17.31602979,19.10582855,15.68117851,29.81559624,53.60882401,46.16936529,35.98854719,35.58307602,47.44821687,30.54153051,18.02386928,36.75228981,38.33828339,40.39518338,59.0959842,26.24774473,59.51201386
9,36.43283785,48.47801025,13.07423953,16.45386241,40.14525812,45.19536292,41.67380597,36.63636596,27.16586131,20.86505994,8.744890505,18.15904725,14.11850815,7.677502674,5.997953929,6.781814694,-2.855688474,14.06007247,34.71469869,28.9269548,11.79030711,26.06797332,40.50441518,12.31463902,4.359656122,27.14662941,26.98784583,29.35430938,42.91677116,12.57019173,44.30435421
10,28.32765862,42.37463288,7.802006958,16.7107094,32.13037686,34.76913972,33.64347837,25.54309854,21.80443979,3.23943164,2.26737079,11.20781091,10.81423932,3.557222608,-2.75266715,3.722534506,-6.570359009,3.389272241,24.76714704,23.47799141,4.525027331,23.38081365,38.30943956,11.15789066,1.838554435,16.25301604,23.55916517,28.03485257,38.25883636,13.95181165,35.57230805
11,22.26516859,33.83314781,2.079166607,14.127125,27.04683906,33.51367898,27.16466337,23.16873912,19.03956775,0.65635649,0.253298779,7.088395208,4.889884698,1.096596304,-4.573078134,-2.654136283,-7.00487687,-1.090066745,11.80541805,15.93123564,1.606861087,14.87659198,26.42360942,1.48435158,-1.378129092,15.90096401,15.97390245,20.75686511,27.87247263,11.15040668,33.36749619
12,23.44308152,34.38946503,-2.211552692,12.16769931,21.16856532,27.89490345,27.51125824,23.75519343,18.43623224,-3.900854231,0.087721062,2.51124468,4.404265717,-1.536500805,-6.370635823,-6.767917339,-9.181068518,-3.988689891,5.965730331,12.04149562,1.607047354,18.64308571,24.44902155,2.753958455,-1.981524163,13.83639406,15.50770442,15.14419317,23.22375608,11.20850202,31.40930715
13,19.94102709,27.48302943,-4.112034547,9.751820126,21.02941885,27.26141986,29.6348676,19.81168839,14.96840336,-4.264760698,0.201547393,0.58852373,-0.589528586,-1.428336301,-5.302097479,-7.64885573,-9.372282838,-2.794486306,3.034944605,12.93835269,0.095135111,12.82251333,20.60424587,0.020495711,-4.302642577,13.17102322,16.38852902,14.48226255,27.0584054,7.125626084,30.85171139
14,19.16592614,30.61863134,-3.032886747,8.17967936,18.59338636,25.87980658,23.37574906,24.68782165,18.9123682,-5.465303959,-1.799120062,-1.623440211,-1.076516229,-2.209261308,-6.330172588,-8.111487751,-9.929959224,-1.813338501,6.062326152,9.39817522,0.230500434,15.20942603,19.84139422,-3.052410246,-5.74055388,12.36723756,19.29971203,19.28579301,23.93388967,2.477056756,25.89222099
15,39.87451217,37.27734535,4.049084178,10.19293046,22.43814943,37.33645641,39.93483665,26.41318374,27.21566638,15.12365883,10.76186781,10.71063559,18.60317529,15.61899024,3.913289454,-3.042090852,-3.294560668,10.1989261,21.1042805,24.16512563,13.6647424,21.27796343,31.61841679,8.879255826,-3.00810011,24.00493645,30.50909107,23.15507342,27.36754018,24.87915024,27.4463651
16,111.0791064,98.99967625,71.91906465,60.72864882,89.15926374,100.2903822,88.84402222,75.85728361,92.25106921,71.77123453,66.31646431,77.2189614,82.26059465,71.86202353,71.81572554,67.61826261,58.15181474,84.79379514,81.85276899,84.50141373,73.6376491,79.42002668,76.56543967,59.82823647,50.32508549,71.39685384,77.33858984,81.16140914,94.35081382,68.59015785,77.65193374
17,184.2090068,164.2511072,157.4073343,160.0520435,153.6027696,158.3722916,161.4115462,172.1247672,166.0802398,137.0434118,155.9642108,142.5995576,134.7637838,144.9768176,137.8530255,137.1722232,104.1789841,121.3205689,146.5620179,138.7108077,143.0127565,155.4001566,151.9349831,130.8312242,127.5589452,126.4413597,162.1682381,163.6502258,147.6587103,129.5934548,119.8070093
18,155.0824839,177.9163401,175.9764761,178.4771522,185.6165079,167.5744924,177.9648025,167.692899,171.39032,174.1870944,177.3707182,156.5511451,167.8027598,166.2904314,158.7154049,167.44563,166.6458603,180.1407839,169.076692,184.2441682,164.4280762,174.6029644,182.2840129,162.9022088,170.9875772,159.100387,168.7118004,158.0487484,159.6566418,162.9073271,171.5447188
19,140.5799167,151.2960207,164.140882,172.7641473,157.9992881,147.2644724,154.0066423,151.4991184,165.284608,166.0545182,167.5918471,144.5491589,148.2334615,161.9135972,143.4761373,151.0597773,153.7409581,175.4871457,166.9602047,163.5552428,149.389423,157.0001688,164.5940054,156.749483,130.2696795,146.4385938,156.8808787,153.1719645,155.9932018,166.1304907,166.297493
20,133.9579148,142.3490372,147.0202865,161.9785706,136.02321,124.0603396,157.1969283,152.6730177,141.4735128,147.0424687,146.1009519,129.6913886,130.6096919,133.2906937,126.6732347,130.6843196,115.9694532,159.2326832,150.688566,142.5225291,129.3127343,147.4224963,150.195297,137.0764635,121.6989654,134.081268,151.4771075,136.8178985,130.6446387,158.3619049,149.2157687
21,145.5292798,130.9163779,147.9751487,155.6377646,143.0016707,137.8303816,140.9978601,145.9550032,145.1998223,137.8552785,150.606133,133.3900632,118.8709899,134.4704059,124.6456487,123.3347617,126.6046981,158.2274324,142.5877906,143.7294985,127.9220703,139.6611382,146.0608657,135.0360843,128.7339327,130.2367871,141.5101933,135.4577827,126.393401,143.7763399,149.0654939
22,154.4972434,137.6103053,141.0591991,155.0751722,144.1436486,137.7582718,141.1080877,137.2357971,137.4585626,136.6905611,146.39098,134.8083738,123.5178312,126.8139158,130.4338183,126.9120051,129.8349884,151.8632489,153.3279326,141.8820482,128.426367,131.4321725,147.1706078,131.4127846,130.9269869,132.253826,147.4751667,141.2922235,114.1035918,132.3513517,139.0424797
23,157.529721,136.4922173,148.5501803,153.4128305,162.197512,153.1952922,141.5800597,140.4826735,143.3097121,147.9905136,146.3739583,136.6410292,125.5776445,129.347498,143.8443593,123.9727012,128.4308528,145.1663787,156.7528809,139.8458824,130.0940557,145.1334391,150.2616345,126.8598953,128.640155,123.4665385,146.2686495,135.6970371,110.4672175,136.0617635,152.0936258
