Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,187.2781166,208.4335292,139.6570683,129.1939339,138.4342231,179.571323,186.5763056,141.4320566,196.8396832,172.1398034,146.9624286,177.2534374,187.9204946,190.2152691,147.6341108,134.0138854,136.0196848,123.6879928,149.3090339,168.3449938,159.2017463,201.2326123,189.6593375,191.5407077,162.81653,129.3718909,148.2886026,198.3157169,185.290903,158.0636857
1,180.3813968,183.0087653,138.5026659,108.7513652,139.2895561,196.8236769,180.2316789,179.60638,191.4416094,182.2192011,135.4477986,172.1339842,191.8305088,190.7598358,145.0799526,129.6528621,130.1461166,118.600588,148.2919825,155.4215136,176.837202,193.805751,200.1870405,175.7579143,155.1431413,133.9893622,183.2216272,192.3817895,182.8145023,160.2441967
2,157.2137877,176.597429,136.8445595,109.7285084,144.7467686,187.2351137,172.0082389,172.9216053,191.6174795,175.7256769,137.4995004,173.0814588,182.0057425,181.5776851,136.2680302,127.3782568,128.6750786,117.7416963,146.7356698,146.3510642,201.7289759,180.975801,196.2208722,181.5748166,165.3369589,129.8551415,168.6208529,181.0939849,171.6951641,186.2637978
3,151.0248133,179.3165202,140.7480188,123.5176843,152.6149686,170.581803,175.4374234,178.5258987,185.2524346,173.3880565,135.5469379,175.2331238,179.6630526,171.5201007,129.355058,161.5137083,132.2027167,118.9507856,153.6952577,142.9846946,188.1072155,170.3895847,189.6549136,177.7223884,162.0403539,131.6578353,159.0780601,174.2378392,161.231798,174.9814821
4,162.989616,170.6415421,133.8182121,136.4591346,156.7048565,174.223153,175.0411084,181.2048705,180.0179701,167.6248263,133.6975669,177.4789959,170.5152612,174.9421299,137.6097877,167.6813699,137.9389394,126.662849,160.0320307,145.2980917,191.4585145,163.1047519,190.0017568,176.1724626,156.4418721,135.7273352,158.8812278,175.1440614,166.577457,188.1836158
5,193.7318727,183.5331108,133.5303805,143.0036125,146.5722746,193.5258398,196.0919374,195.0403516,197.0886211,165.7386222,133.3247467,190.5394067,197.9810662,194.2652094,141.6993612,138.9862811,183.7563604,144.4473024,165.8380191,155.7375502,205.5530948,184.0667474,200.601586,183.0755741,165.0936174,145.0837934,176.6541275,193.4277222,191.715577,145.1030219
6,138.0285031,209.9327993,140.8776382,109.5956339,147.6679295,200.6619543,188.1281512,192.0930812,183.0159382,156.4484281,129.7997321,184.5468503,165.1311155,149.6025417,142.0716099,148.1497454,149.3695577,129.1929966,172.594768,166.8095067,185.7034351,209.2999149,191.7065423,189.8491858,144.2266362,153.0794351,147.0160533,185.6369483,171.6850744,173.0689148
7,97.41806897,186.4630794,47.22132053,-8.252994287,53.59101996,168.6253959,172.4445206,193.8193597,183.1258497,138.2183878,27.96866955,104.0014468,114.534874,62.16129914,14.80903526,30.23111233,23.59414167,7.154169262,104.1553507,78.57210306,109.078625,125.5952892,204.5602734,53.78070486,93.51572169,90.59126266,98.47496493,120.8573678,137.5147175,168.3341958
8,51.93484427,106.1776184,8.945649968,-11.99882499,12.25653469,129.4566173,119.1705577,131.0520164,129.1350532,88.82073765,-8.670902433,33.28145071,40.51210078,57.70158374,9.671327853,8.355366067,1.839996601,-9.665325736,56.03557896,31.36960225,39.07951671,78.72403451,142.4328635,1.194044184,79.66349583,17.77909962,10.31275921,38.55341048,79.58203647,84.77869458
9,56.16589496,83.31077926,0.85365941,-10.91153697,7.529253962,104.525124,76.76475029,120.1276848,77.21675741,64.54242821,-9.27716021,14.6895836,25.98106184,14.52950999,15.70468819,9.182454626,-3.631637274,-11.89513218,40.49663875,20.33094559,30.45836955,69.44829214,145.1666046,-2.498802003,34.07654615,14.03604383,9.261993889,13.25909295,62.73913752,62.98804926
10,51.59413988,79.07241641,-10.1181032,-10.78240466,4.598990583,83.79293466,43.05651719,110.5497679,64.55110275,14.69164456,-10.92847307,7.249207557,21.41663117,19.75202733,5.57155592,4.270663818,-10.88450066,-11.93836493,26.22594666,16.95767857,20.88477796,67.40492328,132.5833884,-6.743305068,35.00427767,10.09899461,4.398620964,10.59556994,53.53227704,66.3362161
11,52.18330062,76.57394286,-11.54180099,-9.233810311,3.659445794,77.70991325,23.43390416,107.4249759,64.94870542,10.41018922,-9.38262296,4.879403326,22.98262031,17.90631313,2.760037912,-0.576274019,-12.10509092,-11.43321438,9.021315127,12.18147067,23.36788483,70.69792616,145.1363269,-8.460255299,23.78771286,6.516410143,4.407767862,10.04522649,23.25636507,67.37036153
