Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,177.0396494,181.4611051,181.3977846,174.5217031,163.9408828,139.5012699,142.2571972,182.1927805,142.6796161,167.661405,208.7757024,180.7024315,145.9370926,156.5943881,156.1007562,188.1546291,192.6644639,158.3466193,168.0457373,177.3584541,148.6103487,143.0409204,134.7741536,135.3373159,143.2332987,139.6300808,135.8023237,158.9055374,174.7735401,201.913872,156.3633987
1,183.2221175,188.5368265,192.8523214,174.621516,156.0889414,130.6503118,139.9888636,203.9871234,140.4023788,200.1644977,182.6811632,183.0623239,146.0985131,191.7881388,188.849392,180.0182226,178.0828864,155.4393334,190.287076,178.533943,146.6624647,146.5934092,121.5519689,125.2822464,130.9049768,135.0367346,128.5148904,157.8133574,195.6139531,183.8952783,193.1144406
2,193.2997599,182.4093006,167.7932779,176.3901691,154.4659123,125.4448996,129.295561,178.2334906,186.7886468,186.2609408,182.4754952,183.5265282,150.9744665,195.3346763,177.6464246,164.0716115,164.543511,149.9103348,195.2241468,171.2728427,139.6698435,145.423624,159.7535847,126.4256371,124.0882595,190.4971208,119.8642331,148.5522373,174.2994175,175.6319457,187.137946
3,189.2875957,183.9729465,171.4804478,177.3312286,171.351021,140.7365524,127.9099536,173.5956443,176.9268212,179.1372784,186.1388082,181.9661199,148.4436837,179.7554509,171.7948363,158.4085086,161.6186045,146.5863712,188.5815526,167.2723588,136.2230275,147.7770269,113.8150127,170.6563893,182.7314883,182.5812316,125.8612829,149.919803,165.5610619,186.2113016,185.3576505
4,179.7554198,170.1798551,188.5369815,171.5687239,163.4691753,116.800986,130.7109917,192.2874276,185.5679045,196.7732268,189.6303739,153.0337058,151.8838186,182.2862314,183.5212563,166.4876987,167.0435195,146.9266756,185.5486228,171.6958737,133.2840152,156.1175668,100.3629825,136.7452446,147.7626417,139.2222913,128.4794862,152.4054735,181.8888718,192.9138199,190.0554386
5,195.9290018,172.1505582,193.3607052,168.7793849,167.2660871,114.4213814,133.3278176,146.9802525,136.1359903,164.1161023,206.3307788,159.8830733,133.0729992,163.7878692,178.5356202,152.0463115,172.0893381,152.1032955,206.2953441,175.1505641,137.9346384,120.9591755,110.7533802,138.7306696,149.1744225,139.6059716,127.2907417,148.5377696,196.7618017,206.3565021,182.0423204
6,152.533257,152.3567444,160.5998905,140.9716723,126.3825711,124.788777,99.01679761,116.8052837,161.7366849,161.524285,194.0572795,177.6382799,107.161003,118.4481757,176.054662,121.5377821,117.0121819,115.0477825,153.9640815,120.5076967,90.21122637,122.9741872,82.68231935,123.510609,133.2364798,128.9935785,88.19363111,132.7589183,144.714171,160.3136654,128.4401481
7,112.3461659,108.3766418,125.9114136,109.6919745,118.0058089,43.05503472,6.674837415,41.16122009,104.926413,124.5020486,148.911515,113.2090863,1.801750295,3.087313029,63.72703701,66.58552222,37.7230142,94.3728946,105.0351075,37.75602586,13.74205926,93.5576188,21.66748579,77.49021315,80.85515135,80.23174736,6.92002644,20.50950124,114.7191591,121.6669553,137.9435876
8,92.28446222,113.9436691,114.8586407,91.82050448,109.3615547,31.63132241,-1.027865403,21.15033767,36.89119489,83.89880482,140.7279829,98.12014565,-11.32066672,-10.59092735,17.83585176,36.34708466,18.78246495,78.26573382,69.01877842,21.2207503,-8.861660845,61.50413255,11.21145998,4.648635713,20.58037403,18.94442873,-10.36399365,7.182077901,64.22415458,77.54437652,72.97002739
9,77.17233602,101.6364406,82.0947538,70.54351636,65.17639143,30.55495842,1.026941293,19.02213386,19.78671021,72.63529186,135.2254718,60.36929102,-11.56438394,-11.16453794,8.091384952,28.74720706,11.99136606,77.4385087,66.18748284,18.38291715,-4.909506456,42.94089175,9.878865662,-0.287280729,24.781893,13.51180532,-11.15029212,-4.068469789,41.68743056,61.60619398,26.1134617
10,76.59921945,96.68134863,81.87577946,55.10144613,72.15297611,19.86011518,0.338724321,7.195722272,21.546787,52.81618323,132.5711202,52.29791385,-12.72278178,-11.13168367,6.043770158,25.46261894,4.341811429,52.96905344,62.34968436,20.19796051,-9.499483845,14.12585254,14.31472413,-1.575149499,17.20880628,9.002314511,-11.08659015,-6.650280485,39.9687066,55.67695878,17.21592235
11,55.2433569,82.81018295,82.53221043,61.15077103,75.84283057,15.87419434,-9.6100735,6.127289128,20.40355666,67.83078516,141.9642945,92.42597011,-10.80724534,-12.72278178,3.688550256,27.30577506,3.897709438,52.22247043,57.64374511,18.98258977,-8.202623771,15.79610898,4.172416274,-7.530628183,6.937058829,10.5877975,-11.10237249,-6.410224539,31.50376016,56.96915718,10.07440049
12,44.27411909,81.45060869,80.36656765,61.13997338,106.9272716,15.02941352,-9.696019714,4.301746816,13.01699811,50.05654538,154.8602889,23.60149442,-12.72278178,-12.72278178,3.28644576,21.76368176,3.674748109,46.96332585,48.78896,13.54651692,-11.53351321,9.067843182,2.796861472,-11.97215248,-1.679698216,6.287478434,-11.67405556,-7.615468381,26.98059819,53.36400101,9.770377793
13,43.14196688,81.84988455,81.71753839,56.6021962,93.8437526,17.28368031,-8.179216231,2.731182388,9.364400631,52.1298886,147.6508574,45.39016101,-12.72278178,-12.72278178,2.159005863,20.82458023,4.543075245,33.05951902,42.70064875,11.84266455,-11.23606616,7.636721162,-0.143106955,-10.58947281,-4.467114225,0.599066762,-11.49207341,-7.772919429,16.87447677,42.43669556,9.666233708
