Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,163.5504563,188.31314,168.7128804,174.7188452,180.7080784,185.1739565,173.2994853,186.3731009,153.1847129,163.0660825,167.3338885,167.1038492,175.8916173,157.1961328,154.353642,145.1377131,158.2930116,153.1182299,163.1131268,163.587348,149.50317,137.3579863,163.3639942,149.4670287,148.1486985,148.5442901,156.4875261,164.4855693,173.3234267,168.5181593,194.6859243
1,169.0808181,168.2924471,178.8848044,174.1332174,174.5098803,171.4039373,169.0849435,179.9098736,159.4248684,175.362435,163.071244,170.0751629,154.5583716,162.3926669,154.4434426,162.6837727,166.2306562,173.1049748,172.8411984,159.8478843,159.0591119,150.3418821,159.8952852,154.8852349,151.8752948,159.2441585,162.9961956,171.157353,173.5036753,162.3017646,203.9120607
2,173.6277799,171.6739914,170.4186364,166.7472297,157.5896483,162.7974941,157.0519268,164.3829854,175.7011147,175.1353494,168.9073072,169.1397753,159.5477461,170.9354537,159.4165801,155.7530829,163.6340282,163.8256119,175.7785475,161.1995233,158.9346401,154.6838959,165.0557929,155.838097,138.5326477,175.0599039,157.7271963,158.3483508,169.338956,168.409857,198.2580726
3,172.7882522,173.1469467,168.7446052,168.2752639,164.5766683,165.7707015,159.0137637,160.0501124,170.7146971,170.5688013,164.9224922,163.1576479,156.0157927,164.4493739,154.9171411,139.2485482,151.825454,156.7338188,170.2550067,168.1972433,156.0568198,162.4897106,143.2320894,168.7387121,161.5368892,165.6706597,154.9350339,155.38538,163.2093144,177.3880299,195.2181001
4,158.5723466,161.4181527,165.1382334,160.7715221,165.8157688,159.7184057,162.9237133,166.6529042,158.2140248,163.4443046,163.8632528,144.3894411,161.4860307,166.8177141,143.5380134,131.9379183,151.8298737,169.532025,171.8674833,163.8154192,144.1713678,156.9422238,128.0391269,157.6037061,145.3717186,159.0999768,152.3827445,155.2109333,166.8697093,182.5812952,197.1252829
5,129.9360718,151.1956638,174.1697749,155.0917963,153.9841194,148.522387,149.6444646,141.9590068,142.4019938,143.8767107,159.7906199,143.210286,150.5792501,154.4492134,143.4541479,118.0506839,152.6286757,154.3503882,177.0033201,152.0915199,140.4597084,136.8477198,137.3047838,157.1310042,160.6403216,152.3526349,149.7051765,146.0184961,161.8147291,162.3358851,181.6725836
6,97.47243455,118.1436963,150.3382775,142.432457,121.8002752,142.553363,130.727145,105.4623057,109.7494198,116.735263,96.17970885,103.9414768,111.6626227,115.6450888,92.14501866,77.06811911,104.90193,127.8558222,108.8017041,101.9603371,98.09174643,74.68237908,93.29118765,137.053663,139.1698193,124.0502753,122.0717499,123.9132084,104.1868528,146.3758108,150.4401431
7,44.53617554,42.89800749,95.92016769,83.94635133,78.10937038,96.6336002,65.32340807,41.89583895,39.97710248,60.93369939,60.71158492,55.43916513,54.51825084,66.24647604,41.24106344,43.15307661,43.99023423,71.80114074,48.61560791,28.04392605,34.3131749,38.80858998,32.71396422,62.27647338,68.68582645,61.48399745,48.42225376,61.65585777,64.42452431,108.0964345,121.5293951
8,39.99872643,44.28080763,92.30306144,74.14046128,75.38806799,85.54511074,54.16040247,32.15975383,25.2061802,37.63176772,43.58361408,55.48419282,51.97536978,51.89261002,33.24608478,33.74043561,37.59932183,42.24943418,31.42118241,18.29257145,18.32128886,30.01126165,24.98032424,41.13021123,43.56017735,35.56690381,32.70687866,42.40832494,45.85143636,82.13004537,106.6677039
9,36.16137769,40.02658885,81.46356531,61.68699982,59.6169195,90.92914238,53.77227757,30.3457352,14.47945598,32.9887561,40.43115594,45.14471044,50.88789792,43.64273617,22.12953014,30.79024477,36.48363619,39.06523484,29.80094001,15.53750588,16.72817401,23.66475867,24.02134124,36.67240896,31.2584565,29.54895227,26.27075999,37.732784,37.55879895,78.53799137,82.36935335
10,31.34000608,35.2538634,67.80289687,49.25862582,50.96762375,87.54581838,50.07007498,24.0794574,13.97791206,25.64631241,39.10342814,39.03576308,42.79015122,39.1023423,22.91008394,33.64314434,31.25994108,31.54152599,25.56694958,13.08167585,12.30454922,14.47507392,22.46108924,34.27304557,32.78408405,26.08288151,26.33864398,35.76705611,37.38145147,78.87104289,72.67155681
11,25.92839319,30.93623364,69.74561139,46.89174316,41.10124865,77.92058089,41.73279439,29.67866909,11.39437018,24.89760224,38.35740224,44.29662258,36.35857068,30.4999095,15.56085758,35.5661246,24.45396235,30.42607852,20.00814535,12.70293424,8.446302352,15.04957596,19.51057955,32.19312773,28.75354062,22.29822075,20.0115179,32.98503472,34.68021391,63.75753221,65.27997294
12,19.01494902,33.67705894,52.09589244,41.46108536,48.31596225,781.0032023,27.97344698,13.60263586,7.095992182,17.6590819,42.19099745,24.77348815,35.32958223,33.37168337,24.82730996,26.6231586,20.65135611,26.72457463,15.57140555,12.84506867,2.906677951,11.06897344,20.53119135,24.22343161,22.98702581,17.78023267,19.23363805,32.47834049,26.16323058,58.95597943,58.05495035
