Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,198.5543932,220.6563526,191.6485114,190.4392165,200.844329,214.1707923,193.9669818,183.4784037,170.7027998,152.3304463,179.0722574,184.3526853,226.1447022,208.5611619,164.3451629,116.9055691,153.0876876,156.7657081,170.3373465,228.4444906,169.3575993,130.2407004,146.8462831,159.4272976,165.394155,188.1233523,185.1152675,164.0086212,176.1641232,153.0555276
1,192.3816458,179.1794185,187.8868334,202.9901542,198.0980885,199.5700115,181.4706857,158.0879195,191.5675403,183.14835,193.7462242,186.409062,180.942042,169.3379455,141.0441383,106.1777667,149.6436182,181.4835069,189.8817267,201.2313689,169.5556377,141.8711048,139.5403238,160.5914442,161.236853,198.2294983,188.6873737,178.2506668,165.5395795,149.1988912
2,163.1886426,170.2500128,181.4387212,163.0672714,163.0989435,179.621031,170.8067727,153.2103764,197.0571871,179.2417896,184.5218559,181.7807269,178.7043244,176.1324361,138.651644,99.42708191,148.5778802,168.9039037,194.4187939,189.0141806,170.3626742,141.4713142,147.2775453,155.4719896,163.5098477,179.2220007,168.3705128,170.0508404,171.5436207,148.4974557
3,158.390578,172.3541458,167.7258122,169.9550151,172.056325,178.2524245,168.8843073,149.5047716,191.5588105,179.0299763,175.4561159,163.6180608,185.496913,181.9052282,136.0028763,86.01760348,152.0625662,174.1859951,183.2060654,183.5570864,165.8274223,146.1004047,129.1192364,157.3739794,162.5621509,163.4429176,165.5973932,169.9756328,170.9267264,180.5752752
4,167.4605159,174.8402906,166.4741806,169.3132599,177.9297432,178.5937015,175.8328253,148.9608472,137.0073767,159.3303953,162.2851561,175.1080642,200.1094302,169.6840424,132.55091,73.67061279,155.6981937,193.6651432,185.7907934,158.00254,155.6130105,146.0842301,129.7523618,154.7184558,167.5979606,194.9787863,165.3512458,174.2250763,168.6469386,177.2533233
5,143.1133758,140.000329,193.2685168,155.3594894,168.8365017,163.0865854,157.230157,160.9317868,124.0099403,144.4742532,154.2808295,163.3180021,181.0034599,173.7888169,138.5634266,74.20938632,172.8073049,156.0336902,184.4729029,125.3590854,167.672771,151.2566749,132.2797543,161.7903861,176.8446259,175.3678899,158.3724913,150.7385646,146.242673,170.4036177
6,134.4707598,96.837436,156.4743936,150.6125473,145.7254959,157.5102575,140.752622,112.3868606,69.70302232,121.0734362,129.3634224,146.1337856,166.6905473,172.5135127,31.69608249,10.53252521,137.9729091,144.7972077,150.9145533,103.4644394,193.3181702,35.67010484,34.46182379,125.0107133,150.7727925,153.4663528,153.7481977,155.9660335,87.30150204,99.38279446
7,52.40684138,7.382155978,98.35337064,110.5390224,78.50963974,100.0559334,109.8581885,14.55715871,-7.290380217,78.92341468,81.33524614,103.2283043,94.0900239,147.9356128,-8.003705274,-10.01260067,29.46021429,88.52549572,80.27048828,15.61840664,91.04004555,9.632350184,-10.72681993,34.66592908,113.8575578,114.7159695,98.13934065,103.1105985,14.54434097,15.24288178
8,56.14065986,8.117163264,102.9273438,95.8936835,102.0184144,89.81559135,76.09991884,-6.551299594,-2.811884755,35.10344451,21.00221025,123.1704515,116.5586808,99.28003895,-9.230327795,-10.00331111,21.01194506,59.2082437,50.37561677,11.54831967,46.71458284,-1.152861504,-9.973084003,23.97016024,92.76071592,78.32653937,53.14734591,38.74046104,-1.674293578,3.690622242
9,57.15892532,2.881063137,92.53414336,87.91707316,89.08407159,109.5631673,83.81314149,-5.284571976,-8.28039903,28.31169468,9.310640659,112.7664493,115.7143685,76.79129176,-9.724676434,-10.66838108,14.14364462,47.35078361,44.77450096,10.52421047,46.91625947,-2.314391041,-11.24283991,17.99312322,46.60799171,63.2481358,33.52688282,31.66191414,-3.679138421,1.075642739
10,48.68076824,-1.33029718,67.34632899,60.18527754,52.57531066,109.5629215,69.2473956,-3.732946639,-10.29556835,13.46590735,5.986736084,89.16091335,84.32347684,67.20377879,-9.926443602,-12.22760736,10.06454657,47.0288616,36.61228017,14.55625597,32.32518307,-6.007635455,-11.73004264,11.77693573,54.28039254,60.64817998,34.54599141,33.37016728,-3.702253192,4.354857509
11,47.83175666,-1.407210056,61.70451909,42.37047277,36.31765942,102.831156,56.82106946,-3.108136776,-11.52953053,11.91805308,5.027376746,74.38954367,75.41171543,59.8094567,-11.26837763,-12.72278178,5.568662669,40.63731977,27.3098341,12.48821116,27.21646691,-7.117900357,-12.72278178,7.484453255,51.87774379,52.94372756,25.96234093,21.33277451,-5.584846704,3.974939317
12,34.94691832,3.524062478,49.43876886,30.56551895,28.54191354,2945.200558,46.48520642,-8.301095465,-11.05629439,1.75966138,6.641155577,71.52710178,77.74123488,69.2153765,-12.06894096,-12.72278178,2.749251611,30.91360508,21.8041387,12.18886463,12.7799318,-9.473756082,-12.72278178,5.60275572,46.66548941,47.75584618,30.97338823,18.54450373,-5.521017974,0.743038004
13,27.37715055,4.368921635,43.60440205,24.07912972,36.38924391,2945.157043,49.23843114,-5.707089808,-8.281386117,3.210002851,6.264598086,72.31230696,89.73063292,55.5507038,-9.567280919,-12.72278178,-0.579612427,27.98761028,17.06269773,5.668953499,10.48474699,-6.694310678,-12.72278178,0.102859027,35.10963809,46.04871462,16.23863698,23.2839238,-2.529076721,5.676485574
14,22.6593153,8.875197303,40.40650942,95.64422621,57.06151769,78.94747969,42.68170944,-4.441139546,-5.79439623,3.573570363,11.7971096,57.47040253,60.85281787,53.47502411,-7.513152559,-12.72278178,1.590302728,19.94556803,12.42815084,9.648602798,4.157700734,-8.289153902,-12.57547557,0.153639475,35.73000219,27.42215887,14.22310459,24.60735349,11.80954156,23.39862452
15,90.42721453,19.47891009,2528.102583,127.6980687,134.31864,190.7339411,107.7325925,41.17291107,40.85468838,16.07156628,17.88780182,67.90633483,111.9284906,69.14721455,38.55496719,-12.72278178,9.068248179,42.73370969,17.67174765,59.54825254,6.281707938,-4.632007802,-7.823969726,12.22445445,49.50427365,39.39110544,29.8431179,65.23648573,36.12765241,48.24855655
16,270.0167495,116.6976263,2972.907327,306.6106163,288.4220851,338.9425426,276.5331033,2571.07897,172.5418844,94.26995479,116.1009862,154.8066146,284.2750013,208.5115437,153.2900998,2.308254196,82.2918052,128.9931718,112.346716,221.6234067,44.7757648,17.41394782,29.86256175,121.9767268,160.185975,120.9599342,139.822142,164.6029805,183.9724934,164.3442937
17,779.4925416,222.5253386,3411.355165,833.4257914,665.3096087,718.6505522,789.2303097,3173.166538,770.0026112,224.8476773,196.0645677,114.1591364,717.5525125,775.1771118,702.3245962,211.5003291,205.8231947,120.6670221,206.9041353,791.0141744,179.4084337,210.9642494,216.9289149,138.156146,126.1785379,192.8004284,173.2500463,159.3022695,222.6439172,214.1972741
18,798.3757752,136.8087174,3371.786637,836.536385,885.5759746,828.2758708,803.0791078,888.367387,891.9091216,156.0416249,163.6686464,242.7776995,829.178117,879.2350266,882.9202405,207.9696641,129.6621595,178.0548264,157.1245281,821.6908968,159.5092782,182.2300485,192.0965804,131.9685758,171.253203,116.6258732,154.1880416,131.3800448,186.2219088,185.0063564
19,534.5900459,156.8413822,3007.22979,581.8872073,684.1032827,593.9828868,503.7084323,530.0671448,592.059286,146.6238391,224.4909091,216.3848505,572.3546933,544.1968288,577.1791999,203.9929897,173.9489039,230.9455705,131.4437537,524.3405456,185.71132,147.9427573,176.3484486,171.822359,180.6169359,169.4802753,174.5833336,152.6792445,163.3609899,164.3079941
20,407.0104146,145.9894588,420.3879762,426.8406976,458.2501394,434.8939309,401.284316,381.1407616,432.4221366,181.282903,192.1228472,190.0001412,423.5986978,377.4455556,366.586,183.4690811,167.8670276,191.086424,168.2149048,382.423705,166.5618835,153.9562676,170.3293681,165.5287192,181.4308853,169.1462145,161.7461558,144.148277,160.5428478,165.5469496
21,400.2236238,140.9897611,391.1052099,420.4178473,404.3211647,423.8291247,386.6146058,364.6192495,382.4665734,141.0155916,185.1634469,193.3230269,422.3886371,369.1740233,351.3969922,169.8279716,166.8886844,185.5458228,160.6100434,399.8481093,165.9329344,162.8155738,171.4348399,214.419019,188.3724672,163.9483619,192.7777077,150.7597581,155.7032083,167.129533
22,292.3003243,166.226553,317.3896446,312.6210488,305.2741729,321.7564966,278.986402,257.4237966,283.1928537,202.1930966,183.3866114,206.8081237,320.4069842,263.687524,247.0596379,167.8794186,223.2293133,187.6228122,159.0823575,305.1873366,146.4634199,160.5903624,167.8368382,208.2501865,201.2362022,201.5630116,202.5304563,189.7005502,152.9786878,169.5814497
23,307.256457,171.5330151,312.412648,270.4988163,284.0733234,280.3295572,253.7990171,233.5141784,260.0463731,224.3645369,178.0335153,198.5829557,287.7356695,236.3021005,228.84164,162.5760706,216.7761772,184.2387691,167.8477012,278.1188891,123.201455,158.0641911,166.1396927,163.7040981,206.6015218,215.0510037,209.7520473,172.2792264,157.0004414,170.1717667
